Temperature	300 K	315 K	330 K	345 K	360 K	400 K	415 K	430 K	445 K
Time	AI	AI	AI	AI	AI	AI	AI	AI	AI
1.1851E+0	110.6143E-9	125.7998E-9	145.9610E-9	170.8333E-9	214.6756E-9	257.5705E-9	301.4646E-9	111.3078E-9	124.2986E-9
2.2106E+0	108.2360E-9	121.6513E-9	142.2392E-9	166.2195E-9	206.1722E-9	247.8404E-9	286.7373E-9	109.0169E-9	120.9594E-9
3.2366E+0	105.1872E-9	119.3660E-9	138.9451E-9	162.4595E-9	199.7554E-9	238.7172E-9	277.5546E-9	107.1329E-9	119.2736E-9
4.2625E+0	103.6663E-9	118.0824E-9	135.3214E-9	157.3802E-9	194.4342E-9	231.1276E-9	265.8335E-9	105.7482E-9	116.6851E-9
5.2884E+0	101.7083E-9	115.1177E-9	131.9516E-9	155.2278E-9	189.6538E-9	223.2213E-9	258.0172E-9	104.0909E-9	114.4665E-9
6.3144E+0	99.7377E-9	112.8473E-9	129.6086E-9	151.2046E-9	184.6281E-9	217.4401E-9	250.0820E-9	103.7516E-9	113.3820E-9
7.3403E+0	98.7471E-9	110.6631E-9	126.3501E-9	148.6696E-9	180.8456E-9	210.5703E-9	240.9693E-9	102.9202E-9	111.9786E-9
8.3662E+0	96.3981E-9	108.8088E-9	124.8661E-9	146.5359E-9	177.2742E-9	205.4601E-9	233.3394E-9	100.8213E-9	111.0614E-9
9.3922E+0	95.3599E-9	106.3872E-9	121.9944E-9	144.5122E-9	173.5422E-9	200.1294E-9	226.5265E-9	100.1809E-9	109.6504E-9
10.4181E+0	94.4045E-9	105.5452E-9	120.9379E-9	142.4596E-9	170.0387E-9	194.7657E-9	220.9169E-9	99.1759E-9	108.9141E-9
11.4440E+0	92.9952E-9	104.1732E-9	118.7970E-9	139.9603E-9	166.6244E-9	189.8907E-9	214.6746E-9	98.6285E-9	107.6551E-9
12.4699E+0	91.8445E-9	102.9588E-9	117.0659E-9	137.9451E-9	162.8313E-9	187.4386E-9	210.2926E-9	97.5580E-9	106.1171E-9
13.4959E+0	91.3435E-9	101.7614E-9	116.3432E-9	135.4968E-9	160.7910E-9	183.2429E-9	204.6062E-9	96.3390E-9	104.9384E-9
14.5218E+0	90.0123E-9	101.0523E-9	115.1203E-9	134.4187E-9	158.8700E-9	178.7399E-9	199.4806E-9	95.7190E-9	103.6212E-9
15.7228E+0	88.6308E-9	100.3576E-9	113.4770E-9	132.9113E-9	155.6128E-9	175.5222E-9	195.4175E-9	95.2889E-9	103.9478E-9
16.7553E+0	87.6894E-9	98.4044E-9	111.6868E-9	131.9903E-9	154.3509E-9	172.5809E-9	191.1009E-9	94.2613E-9	102.4263E-9
17.7878E+0	87.0730E-9	97.5212E-9	110.2945E-9	129.8184E-9	152.2125E-9	169.1984E-9	187.2020E-9	94.1250E-9	101.8408E-9
18.8204E+0	86.4631E-9	96.4860E-9	109.1578E-9	127.2426E-9	149.8898E-9	166.3063E-9	182.8680E-9	93.1271E-9	101.0624E-9
19.8529E+0	85.7117E-9	95.2334E-9	108.4436E-9	125.7539E-9	147.6135E-9	164.1055E-9	179.4099E-9	92.2269E-9	100.0289E-9
20.8854E+0	85.7019E-9	94.2886E-9	107.5438E-9	125.1043E-9	145.5125E-9	161.0526E-9	176.8848E-9	91.7106E-9	99.1436E-9
21.9179E+0	84.2157E-9	93.6971E-9	105.9316E-9	123.1519E-9	143.1270E-9	157.6213E-9	173.3915E-9	90.7883E-9	98.8858E-9
22.9504E+0	84.4254E-9	91.7740E-9	105.2806E-9	121.4369E-9	142.3363E-9	155.1891E-9	170.1831E-9	90.4036E-9	97.8578E-9
23.9828E+0	83.5737E-9	91.6475E-9	104.4590E-9	120.0687E-9	141.2379E-9	152.8499E-9	166.5547E-9	89.8055E-9	96.9525E-9
25.0153E+0	82.3595E-9	90.6246E-9	103.3159E-9	119.6947E-9	138.4163E-9	150.8295E-9	163.9230E-9	88.9207E-9	96.4528E-9
26.0479E+0	81.1432E-9	90.0212E-9	102.4281E-9	118.5928E-9	136.9705E-9	148.9672E-9	160.5069E-9	88.6385E-9	95.7441E-9
27.0804E+0	80.9206E-9	89.8104E-9	101.4234E-9	117.7576E-9	135.2788E-9	148.6046E-9	158.2348E-9	88.2333E-9	95.0621E-9
28.1129E+0	80.1031E-9	88.5095E-9	99.6897E-9	116.0897E-9	132.8207E-9	145.6437E-9	155.7322E-9	87.5932E-9	94.4375E-9
29.1454E+0	79.9991E-9	87.8035E-9	99.2383E-9	115.1593E-9	131.9243E-9	143.3359E-9	152.8855E-9	87.5783E-9	93.8914E-9
30.1779E+0	79.1949E-9	86.9102E-9	98.6553E-9	113.7823E-9	129.9524E-9	140.6685E-9	150.5701E-9	86.7568E-9	93.4180E-9
31.2104E+0	78.6212E-9	86.9613E-9	98.1509E-9	112.7666E-9	128.6981E-9	138.2690E-9	147.9167E-9	86.3190E-9	92.9433E-9
32.2429E+0	78.3990E-9	86.0768E-9	97.0223E-9	112.5084E-9	127.4404E-9	136.6287E-9	145.8751E-9	86.0979E-9	91.9259E-9
33.2754E+0	78.6846E-9	84.5674E-9	96.9824E-9	111.2792E-9	126.1355E-9	134.8483E-9	143.3648E-9	85.4421E-9	91.5263E-9
34.3080E+0	77.2790E-9	84.5771E-9	96.0125E-9	109.7867E-9	124.8995E-9	132.7979E-9	141.7547E-9	84.6564E-9	90.7569E-9
35.3405E+0	76.4951E-9	84.6940E-9	95.1047E-9	108.8402E-9	123.4477E-9	131.6259E-9	140.2855E-9	84.5875E-9	90.1870E-9
36.3730E+0	75.7959E-9	84.4563E-9	94.7107E-9	107.9948E-9	122.2325E-9	129.7028E-9	138.0677E-9	84.1701E-9	90.0074E-9
37.4055E+0	75.7360E-9	83.2556E-9	93.2347E-9	107.0335E-9	121.1574E-9	127.6243E-9	136.2113E-9	83.5816E-9	89.6104E-9
38.4380E+0	75.6120E-9	82.7418E-9	93.0670E-9	105.4577E-9	119.9391E-9	127.1649E-9	133.8556E-9	83.5214E-9	89.1492E-9
39.4705E+0	74.9729E-9	82.8766E-9	92.7370E-9	105.2513E-9	119.5247E-9	125.2851E-9	131.9329E-9	82.5695E-9	88.4391E-9
40.5030E+0	74.6073E-9	82.0374E-9	92.1184E-9	104.5409E-9	118.7090E-9	123.3994E-9	130.8561E-9	82.7568E-9	88.2584E-9
41.5356E+0	73.8164E-9	81.4863E-9	91.0628E-9	104.4178E-9	117.5409E-9	121.2449E-9	128.8693E-9	82.2687E-9	87.8623E-9
42.5681E+0	72.8765E-9	80.8940E-9	91.0008E-9	103.9461E-9	116.3698E-9	119.9893E-9	127.0048E-9	81.4397E-9	87.8868E-9
43.6006E+0	72.6160E-9	80.5610E-9	90.4849E-9	103.2595E-9	115.5881E-9	118.5265E-9	124.9119E-9	81.0967E-9	87.3222E-9
44.6331E+0	72.2004E-9	79.9956E-9	90.1902E-9	102.3627E-9	114.0612E-9	116.6918E-9	123.4695E-9	80.8391E-9	86.5997E-9
45.6656E+0	71.9665E-9	79.3951E-9	89.5728E-9	101.6642E-9	113.3809E-9	115.6506E-9	121.8772E-9	80.3819E-9	86.2173E-9
46.6981E+0	71.4158E-9	79.5222E-9	88.3560E-9	101.3568E-9	112.3614E-9	115.0260E-9	120.6033E-9	79.8648E-9	85.7641E-9
47.7306E+0	70.8442E-9	78.4164E-9	87.8234E-9	100.3504E-9	111.2867E-9	113.7445E-9	119.3108E-9	79.6253E-9	85.3541E-9
48.7631E+0	70.4675E-9	78.2243E-9	87.6022E-9	99.0766E-9	110.1483E-9	112.7110E-9	118.1176E-9	79.5304E-9	84.6513E-9
49.7957E+0	70.4354E-9	78.0780E-9	86.8252E-9	98.8710E-9	109.9246E-9	112.1391E-9	116.7979E-9	79.2638E-9	84.4737E-9
50.8282E+0	70.3240E-9	77.8940E-9	86.4377E-9	98.1921E-9	108.5781E-9	110.2737E-9	114.9776E-9	78.8485E-9	84.0643E-9
