VGS	IDs 	IDS	IDS	IDS	IDS	IDS	IDS	IDS	IDS
V	t=0	t=5 s	t=10 s	t= 60s	t=300s	t=1800s	t=3600s	t=7200s	t=9000s	
-5.0003	1.03598E-11	1.20921E-11	1.73478E-11	1.12091E-11	1.32104E-11	1.24535E-11	1.34541E-11	1.19068E-11	1.33952E-11
-4.50031	7.27366E-12	1.15539E-11	8.91344E-12	1.07718E-11	1.15286E-11	1.18102E-11	1.08599E-11	1.06076E-11	1.12635E-11
-4.00016	7.62264E-12	9.07322E-12	1.08223E-11	9.92671E-12	9.97288E-12	1.09651E-11	1.01746E-11	1.02839E-11	1.15579E-11
-3.50024	8.84617E-12	9.27924E-12	9.82583E-12	8.43409E-12	8.44243E-12	9.3758E-12	1.00779E-11	8.77024E-12	9.49764E-12
-3.00037	7.44605E-12	7.24003E-12	8.58548E-12	8.05989E-12	8.71151E-12	8.55171E-12	8.54745E-12	9.59433E-12	8.71139E-12
-2.50037	7.13491E-12	8.75367E-12	7.34094E-12	7.40818E-12	8.18595E-12	8.74932E-12	8.17325E-12	8.34979E-12	9.93491E-12
-2.00029	3.94722E-11	1.91642E-11	1.35132E-11	8.12716E-12	7.72345E-12	8.15228E-12	8.66097E-12	9.06456E-12	9.58593E-12
-1.50026	7.69559E-9	2.34628E-9	2.30296E-10	2.13211E-11	8.11867E-12	7.09694E-12	2.33684E-11	7.79059E-12	8.21105E-12
-1.00026	2.27102E-7	1.14068E-7	2.05186E-8	2.38291E-9	1.29559E-10	1.88949E-11	9.22017E-12	6.88241E-12	7.31549E-12
-0.5004	8.28858E-7	6.07181E-7	3.12075E-7	9.48053E-8	9.91097E-9	1.61864E-9	3.05463E-10	1.94708E-11	9.6448E-12
-1.30967E-4	1.62205E-6	1.33851E-6	9.37016E-7	5.67186E-7	2.0526E-7	5.69311E-8	1.62366E-8	1.79407E-9	6.24196E-10
0.49984	2.46969E-6	2.15556E-6	1.72409E-6	1.28588E-6	7.74274E-7	4.60075E-7	2.49026E-7	5.23258E-8	2.46171E-8
1.00006	3.37219E-6	3.03117E-6	2.56501E-6	2.11026E-6	1.53223E-6	1.14533E-6	8.43041E-7	4.29262E-7	2.8883E-7
1.50007	4.31283E-6	3.94751E-6	3.45594E-6	2.97002E-6	2.35721E-6	1.95305E-6	1.60841E-6	1.09727E-6	8.93154E-7
2.00014	5.28485E-6	4.89689E-6	4.38473E-6	3.8754E-6	3.23895E-6	2.80308E-6	2.43629E-6	1.88395E-6	1.64186E-6
2.50021	6.28426E-6	5.87492E-6	5.34489E-6	4.81634E-6	4.16177E-6	3.7038E-6	3.31977E-6	2.70433E-6	2.42771E-6
3.00022	7.30789E-6	6.8786E-6	6.33248E-6	5.78717E-6	5.11858E-6	4.64243E-6	4.24426E-6	3.56325E-6	3.23885E-6
3.5001	8.35428E-6	7.90616E-6	7.3454E-6	6.78486E-6	6.10529E-6	5.61359E-6	5.20314E-6	4.44903E-6	4.06771E-6
4.00003	9.42196E-6	8.95673E-6	8.38227E-6	7.80784E-6	7.11939E-6	6.61424E-6	6.19316E-6	5.35319E-6	4.90287E-6
4.5002	1.05755E-5	1.00962E-5	9.44229E-6	8.85502E-6	8.15941E-6	7.64222E-6	7.21149E-6	6.274E-6	5.7448E-6
5.0002	1.16657E-5	1.1175E-5	1.05938E-5	9.92425E-6	9.2229E-6	8.69477E-6	8.25546E-6	7.20211E-6	6.58259E-6
5.50028	1.27821E-5	1.22796E-5	1.1681E-5	1.10862E-5	1.03758E-5	9.77077E-6	9.32345E-6	8.14379E-6	7.40641E-6
6.00052	1.39193E-5	1.34063E-5	1.27946E-5	1.21829E-5	1.14666E-5	1.09361E-5	1.04813E-5	9.0885E-6	8.24095E-6
6.50038	1.50721E-5	1.45503E-5	1.39286E-5	1.33041E-5	1.25855E-5	1.20385E-5	1.15761E-5	1.00949E-5	9.07775E-6
7.00038	1.62418E-5	1.57134E-5	1.50817E-5	1.44471E-5	1.37273E-5	1.31693E-5	1.27005E-5	1.10328E-5	9.88693E-6
7.5004	1.74234E-5	1.68925E-5	1.62525E-5	1.56089E-5	1.48889E-5	1.43216E-5	1.38471E-5	1.19824E-5	1.07465E-5
8.00045	1.86213E-5	1.8087E-5	1.74397E-5	1.67889E-5	1.60687E-5	1.54943E-5	1.50135E-5	1.29365E-5	1.15488E-5
