Device Id	Operator	Recipe														
IBC_konst_500nmTiO2-60deg	IS	ANA test,IV														
																
Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi			
4,3681	1	0,5	0	0	0,7	100	50	200	0	0	0	-0,6	-0,1			
																
Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0,5846911	0,0604192	13,83191701	0,05578772	0,47241741	26,35509182	74,6042	6,0335	0,814655	2443,506	0,03255311	NaN	NaN	NaN	13,024	13:49:13	09/16/2022
																
Vmeas	Imeas															
0,7	-0,2000139	-20,00139														
0,69295	-0,2000084	-20,00084														
0,68585	-0,2000073	-20,00073														
0,6788	-0,2000139	-20,00139														
0,6717	-0,1871772	-18,71772														
0,66465	-0,1656482	-16,56482														
0,6576	-0,1450714	-14,50714														
0,6505	-0,1254915	-12,54915														
0,64345	-0,1071469	-10,71469														
0,63635	-0,0902548	-9,02548														
0,6293	-0,07420969	-7,420969														
0,6222	-0,05928968	-5,928968														
0,61515	-0,04568924	-4,568924														
0,6081	-0,03318347	-3,318347														
0,601	-0,02176758	-2,176758														
0,59395	-0,01150871	-1,150871														
0,58685	-0,0023465	-0,23465														
0,5798	0,00584361	0,584361														
0,57275	0,01301114	1,301114														
0,56565	0,01949404	1,949404														
0,5586	0,02516656	2,516656														
0,5515	0,03016615	3,016615														
0,54445	0,03448351	3,448351														
0,53735	0,03829227	3,829227														
0,5303	0,04154539	4,154539														
0,52325	0,04437418	4,437418														
0,51615	0,04682532	4,682532														
0,5091	0,0489226	4,89226														
0,502	0,05073032	5,073032														
0,49495	0,05226082	5,226082														
0,4879	0,0535723	5,35723														
0,4808	0,05468898	5,468898														
0,47375	0,05562885	5,562885														
0,46665	0,05642437	5,642437														
0,4596	0,05708463	5,708463														
0,4525	0,05764223	5,764223														
0,44545	0,05810314	5,810314														
0,4384	0,05848649	5,848649														
0,4313	0,05880409	5,880409														
0,42425	0,05906333	5,906333														
0,41715	0,05927985	5,927985														
0,4101	0,0594549	5,94549														
0,40305	0,05959975	5,959975														
0,39595	0,05971904	5,971904														
0,3889	0,05981627	5,981627														
0,3818	0,05989643	5,989643														
0,37475	0,05996209	5,996209														
0,3677	0,060016	6,0016														
0,3606	0,06006094	6,006094														
0,35355	0,06009845	6,009845														
0,34645	0,06012982	6,012982														
0,3394	0,06015611	6,015611														
0,3323	0,06017859	6,017859														
0,32525	0,06019776	6,019776														
0,3182	0,06021439	6,021439														
0,3111	0,06022866	6,022866														
0,30405	0,06024064	6,024064														
0,29695	0,06025171	6,025171														
0,2899	0,06026124	6,026124														
0,28285	0,06026961	6,026961														
0,27575	0,06027722	6,027722														
0,2687	0,06028426	6,028426														
0,2616	0,06029077	6,029077														
0,25455	0,06029684	6,029684														
0,24745	0,0603027	6,03027														
0,2404	0,06030824	6,030824														
0,23335	0,06031306	6,031306														
0,22625	0,06031763	6,031763														
0,2192	0,06032219	6,032219														
0,2121	0,06032625	6,032625														
0,20505	0,06032962	6,032962														
0,198	0,0603332	6,03332														
0,1909	0,06033667	6,033667														
0,18385	0,06034038	6,034038														
0,17675	0,060344	6,0344														
0,1697	0,06034773	6,034773														
0,16265	0,06035208	6,035208														
0,15555	0,06035531	6,035531														
0,1485	0,06035822	6,035822														
0,1414	0,06036133	6,036133														
0,13435	0,06036411	6,036411														
0,12725	0,06036691	6,036691														
0,1202	0,06037017	6,037017														
0,11315	0,0603731	6,03731														
0,10605	0,06037638	6,037638														
0,099	0,06037943	6,037943														
0,0919	0,06038287	6,038287														
0,08485	0,06038545	6,038545														
0,0778	0,06038814	6,038814														
0,0707	0,06039064	6,039064														
0,06365	0,06039361	6,039361														
0,05655	0,06039676	6,039676														
0,0495	0,0603993	6,03993														
0,0424	0,06040214	6,040214														
0,03535	0,06040477	6,040477														
0,0283	0,06040746	6,040746														
0,0212	0,06041006	6,041006														
0,01415	0,06041279	6,041279														
0,00705	0,06041518	6,041518														
0	0,06041788	6,041788														
