Device Id	Operator	Recipe														
LT_IBC_thin_300nmTiO2	IvanSantos	ANA test,IV														
																
Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi			
4,3681	1	0,5	0	0	0,7	100	50	200	0	0	0	-0,6	-0,1			
																
Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0,6188206	0,13916947	31,86041378	0,12406993	0,48900718	60,67108394	70,4487	13,8896	0,471232	133,75	0,077348	NaN	NaN	NaN	13,142	12:16:11	09/15/2022
																
Vmeas	Imeas															
0,7	-0,1999483	-19,99483														
0,69295	-0,19995	-19,995														
0,68585	-0,1999454	-19,99454														
0,6788	-0,1820166	-18,20166														
0,6717	-0,1544503	-15,44503														
0,66465	-0,1286506	-12,86506														
0,6576	-0,104254	-10,4254														
0,6505	-0,08247253	-8,247253														
0,64345	-0,06108916	-6,108916														
0,63635	-0,04116211	-4,116211														
0,6293	-0,02286512	-2,286512														
0,6222	-0,00663707	-0,663707														
0,61515	0,00876718	0,876718														
0,6081	0,02186478	2,186478														
0,601	0,03475934	3,475934														
0,59395	0,04635325	4,635325														
0,58685	0,0568418	5,68418														
0,5798	0,06613852	6,613852														
0,57275	0,07450369	7,450369														
0,56565	0,08199799	8,199799														
0,5586	0,08862789	8,862789														
0,5515	0,09453861	9,453861														
0,54445	0,09971677	9,971677														
0,53735	0,1043722	10,43722														
0,5303	0,108293	10,8293														
0,52325	0,1119056	11,19056														
0,51615	0,1150934	11,50934														
0,5091	0,1178781	11,78781														
0,502	0,1203383	12,03383														
0,49495	0,122474	12,2474														
0,4879	0,124359	12,4359														
0,4808	0,1259998	12,59998														
0,47375	0,1274296	12,74296														
0,46665	0,1286753	12,86753														
0,4596	0,1297468	12,97468														
0,4525	0,130683	13,0683														
0,44545	0,1314881	13,14881														
0,4384	0,1321903	13,21903														
0,4313	0,1327923	13,27923														
0,42425	0,1333038	13,33038														
0,41715	0,133757	13,3757														
0,4101	0,1341443	13,41443														
0,40305	0,1344759	13,44759														
0,39595	0,1347655	13,47655														
0,3889	0,1350207	13,50207														
0,3818	0,1352465	13,52465														
0,37475	0,1354394	13,54394														
0,3677	0,1356173	13,56173														
0,3606	0,1357733	13,57733														
0,35355	0,1359154	13,59154														
0,34645	0,1360423	13,60423														
0,3394	0,1361621	13,61621														
0,3323	0,1362706	13,62706														
0,32525	0,1363749	13,63749														
0,3182	0,1364717	13,64717														
0,3111	0,1365574	13,65574														
0,30405	0,1366406	13,66406														
0,29695	0,1367162	13,67162														
0,2899	0,1367982	13,67982														
0,28285	0,1368727	13,68727														
0,27575	0,1369398	13,69398														
0,2687	0,1370177	13,70177														
0,2616	0,13709	13,709														
0,25455	0,1371572	13,71572														
0,24745	0,1372241	13,72241														
0,2404	0,1372855	13,72855														
0,23335	0,1373515	13,73515														
0,22625	0,1374111	13,74111														
0,2192	0,137475	13,7475														
0,2121	0,1375394	13,75394														
0,20505	0,137597	13,7597														
0,198	0,1376558	13,76558														
0,1909	0,1377159	13,77159														
0,18385	0,1377782	13,77782														
0,17675	0,137832	13,7832														
0,1697	0,1378917	13,78917														
0,16265	0,1379454	13,79454														
0,15555	0,1380039	13,80039														
0,1485	0,1380632	13,80632														
0,1414	0,1381144	13,81144														
0,13435	0,1381683	13,81683														
0,12725	0,1382221	13,82221														
0,1202	0,1382801	13,82801														
0,11315	0,1383339	13,83339														
0,10605	0,1383891	13,83891														
0,099	0,138439	13,8439														
0,0919	0,1384899	13,84899														
0,08485	0,1385462	13,85462														
0,0778	0,138595	13,8595														
0,0707	0,1386472	13,86472														
0,06365	0,1386963	13,86963														
0,05655	0,1387489	13,87489														
0,0495	0,1388001	13,88001														
0,0424	0,1388539	13,88539														
0,03535	0,1389081	13,89081														
0,0283	0,1389536	13,89536														
0,0212	0,1390036	13,90036														
0,01415	0,1390562	13,90562														
0,00705	0,1391045	13,91045														
0	0,1391554	13,91554														
