Device Id	Operator	Recipe
IBC_konst_Ref-10deg	IS	ANA test.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
4.368100	1.0000	0.5000	0	0.0000	0.7000	100	50	200	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.62850001	0.10563688	24.18371434	0.09390663	0.49457058	46.44345434	69.9526	10.6324	0.630599	1092.904	0.05981922	NaN	NaN	NaN	13.132	14:16:15	09/16/2022

Vmeas	Imeas
0.70000000	-0.19823590
0.69295000	-0.17025430
0.68585000	-0.14415190
0.67880000	-0.12009830
0.67170000	-0.09857754
0.66465000	-0.07824043
0.65760000	-0.05955401
0.65050000	-0.04245688
0.64345000	-0.02701804
0.63635000	-0.01299114
0.62930000	-0.00062122
0.62220000	0.01043080
0.61515000	0.02062537
0.60810000	0.02981919
0.60100000	0.03808933
0.59395000	0.04544970
0.58685000	0.05205493
0.57980000	0.05788973
0.57275000	0.06312349
0.56565000	0.06781244
0.55860000	0.07196935
0.55150000	0.07569528
0.54445000	0.07897888
0.53735000	0.08194394
0.53030000	0.08454341
0.52325000	0.08686704
0.51615000	0.08894126
0.50910000	0.09077200
0.50200000	0.09240260
0.49495000	0.09383153
0.48790000	0.09510287
0.48080000	0.09623106
0.47375000	0.09722114
0.46665000	0.09809880
0.45960000	0.09886311
0.45250000	0.09954229
0.44545000	0.10013720
0.43840000	0.10065980
0.43130000	0.10112200
0.42425000	0.10152800
0.41715000	0.10189390
0.41010000	0.10221460
0.40305000	0.10250400
0.39595000	0.10276510
0.38890000	0.10299960
0.38180000	0.10321340
0.37475000	0.10340480
0.36770000	0.10358200
0.36060000	0.10374620
0.35355000	0.10389780
0.34645000	0.10403710
0.33940000	0.10416800
0.33230000	0.10428950
0.32525000	0.10440290
0.31820000	0.10450970
0.31110000	0.10460920
0.30405000	0.10470060
0.29695000	0.10478580
0.28990000	0.10486580
0.28285000	0.10494060
0.27575000	0.10495640
0.26870000	0.10502040
0.26160000	0.10508130
0.25455000	0.10513340
0.24745000	0.10518220
0.24040000	0.10522850
0.23335000	0.10526460
0.22625000	0.10529950
0.21920000	0.10533190
0.21210000	0.10535660
0.20505000	0.10537970
0.19800000	0.10540420
0.19090000	0.10542980
0.18385000	0.10544620
0.17675000	0.10545670
0.16970000	0.10547100
0.16265000	0.10548320
0.15555000	0.10549250
0.14850000	0.10550500
0.14140000	0.10551770
0.13435000	0.10552150
0.12725000	0.10553030
0.12020000	0.10553830
0.11315000	0.10554330
0.10605000	0.10554660
0.09900000	0.10555510
0.09190000	0.10556100
0.08485000	0.10556470
0.07780000	0.10557310
0.07070000	0.10557430
0.06365000	0.10558150
0.05655000	0.10558790
0.04950000	0.10559880
0.04240000	0.10559550
0.03535000	0.10559760
0.02830000	0.10560930
0.02120000	0.10561270
0.01415000	0.10561350
0.00705000	0.10562070
-0.00000000	0.10562700
