nm; %R
1600,000000; 0,650686
1599,000000; 0,614099
1598,000000; 0,561718
1597,000000; 0,546472
1596,000000; 0,727328
1595,000000; 0,602495
1594,000000; 0,683829
1593,000000; 0,617562
1592,000000; 0,701901
1591,000000; 0,655547
1590,000000; 0,645836
1589,000000; 0,681129
1588,000000; 0,720181
1587,000000; 0,672915
1586,000000; 0,601184
1585,000000; 0,670334
1584,000000; 0,787865
1583,000000; 0,703361
1582,000000; 0,631331
1581,000000; 0,695354
1580,000000; 0,683118
1579,000000; 0,709199
1578,000000; 0,524581
1577,000000; 0,673729
1576,000000; 0,680279
1575,000000; 0,636924
1574,000000; 0,609153
1573,000000; 0,700076
1572,000000; 0,681702
1571,000000; 0,680466
1570,000000; 0,589630
1569,000000; 0,804263
1568,000000; 0,763656
1567,000000; 0,615270
1566,000000; 0,600064
1565,000000; 0,577813
1564,000000; 0,584521
1563,000000; 0,651157
1562,000000; 0,646947
1561,000000; 0,625424
1560,000000; 0,654859
1559,000000; 0,602342
1558,000000; 0,739078
1557,000000; 0,766257
1556,000000; 0,707034
1555,000000; 0,539819
1554,000000; 0,646474
1553,000000; 0,687883
1552,000000; 0,615783
1551,000000; 0,587839
1550,000000; 0,699965
1549,000000; 0,600630
1548,000000; 0,641233
1547,000000; 0,614192
1546,000000; 0,661766
1545,000000; 0,586401
1544,000000; 0,606400
1543,000000; 0,614779
1542,000000; 0,596339
1541,000000; 0,628897
1540,000000; 0,658775
1539,000000; 0,647452
1538,000000; 0,602085
1537,000000; 0,695738
1536,000000; 0,675247
1535,000000; 0,630400
1534,000000; 0,631949
1533,000000; 0,611782
1532,000000; 0,581520
1531,000000; 0,561590
1530,000000; 0,605887
1529,000000; 0,613980
1528,000000; 0,552340
1527,000000; 0,633080
1526,000000; 0,680298
1525,000000; 0,625675
1524,000000; 0,655604
1523,000000; 0,632566
1522,000000; 0,579149
1521,000000; 0,581224
1520,000000; 0,600251
1519,000000; 0,638496
1518,000000; 0,684248
1517,000000; 0,692336
1516,000000; 0,694780
1515,000000; 0,648457
1514,000000; 0,681272
1513,000000; 0,639584
1512,000000; 0,620072
1511,000000; 0,688045
1510,000000; 0,678311
1509,000000; 0,642127
1508,000000; 0,697857
1507,000000; 0,698555
1506,000000; 0,602082
1505,000000; 0,614376
1504,000000; 0,581692
1503,000000; 0,609854
1502,000000; 0,658234
1501,000000; 0,659516
1500,000000; 0,692584
1499,000000; 0,633924
1498,000000; 0,575035
1497,000000; 0,564340
1496,000000; 0,637087
1495,000000; 0,655100
1494,000000; 0,637066
1493,000000; 0,641277
1492,000000; 0,655405
1491,000000; 0,629337
1490,000000; 0,572405
1489,000000; 0,582551
1488,000000; 0,640883
1487,000000; 0,713642
1486,000000; 0,678698
1485,000000; 0,637318
1484,000000; 0,624940
1483,000000; 0,596034
1482,000000; 0,648140
1481,000000; 0,635999
1480,000000; 0,631801
1479,000000; 0,626011
1478,000000; 0,614591
1477,000000; 0,649155
1476,000000; 0,690824
1475,000000; 0,642369
1474,000000; 0,573871
1473,000000; 0,593375
1472,000000; 0,656677
1471,000000; 0,625411
1470,000000; 0,566505
1469,000000; 0,613950
1468,000000; 0,637001
1467,000000; 0,602205
1466,000000; 0,641473
1465,000000; 0,693083
1464,000000; 0,637066
1463,000000; 0,650805
1462,000000; 0,613804
1461,000000; 0,581219
1460,000000; 0,649490
1459,000000; 0,650067
1458,000000; 0,652503
1457,000000; 0,695097
1456,000000; 0,651050
1455,000000; 0,630828
1454,000000; 0,639601
1453,000000; 0,664716
1452,000000; 0,658441
1451,000000; 0,607402
1450,000000; 0,609225
1449,000000; 0,605524
1448,000000; 0,624880
1447,000000; 0,631008
1446,000000; 0,644993
1445,000000; 0,644119
1444,000000; 0,638102
1443,000000; 0,616773
1442,000000; 0,575253
1441,000000; 0,585262
1440,000000; 0,654304
1439,000000; 0,682376
1438,000000; 0,621566
1437,000000; 0,650102
1436,000000; 0,689256
1435,000000; 0,666125
1434,000000; 0,669158
1433,000000; 0,654478
1432,000000; 0,623654
1431,000000; 0,634622
1430,000000; 0,637169
1429,000000; 0,649924
1428,000000; 0,698488
1427,000000; 0,647666
1426,000000; 0,565865
1425,000000; 0,609805
1424,000000; 0,626727
1423,000000; 0,624698
1422,000000; 0,620957
1421,000000; 0,619850
1420,000000; 0,608920
1419,000000; 0,627417
1418,000000; 0,634586
1417,000000; 0,612480
1416,000000; 0,637485
1415,000000; 0,630724
1414,000000; 0,639686
1413,000000; 0,635321
1412,000000; 0,607501
1411,000000; 0,582860
1410,000000; 0,608490
1409,000000; 0,640632
1408,000000; 0,647303
1407,000000; 0,664514
1406,000000; 0,632030
1405,000000; 0,613725
1404,000000; 0,613314
1403,000000; 0,618388
1402,000000; 0,552578
1401,000000; 0,608189
1400,000000; 0,677628
1399,000000; 0,655445
1398,000000; 0,615651
1397,000000; 0,652808
1396,000000; 0,628233
1395,000000; 0,631783
1394,000000; 0,650032
1393,000000; 0,627731
1392,000000; 0,625699
1391,000000; 0,635374
1390,000000; 0,617952
1389,000000; 0,710761
1388,000000; 0,708664
1387,000000; 0,729149
1386,000000; 0,634438
1385,000000; 0,638608
1384,000000; 0,584315
1383,000000; 0,597510
1382,000000; 0,618191
1381,000000; 0,607755
1380,000000; 0,579750
1379,000000; 0,593518
1378,000000; 0,575342
1377,000000; 0,586202
1376,000000; 0,612513
1375,000000; 0,583277
1374,000000; 0,631561
1373,000000; 0,638989
1372,000000; 0,676477
1371,000000; 0,690911
1370,000000; 0,607745
1369,000000; 0,648336
1368,000000; 0,635876
1367,000000; 0,545887
1366,000000; 0,628934
1365,000000; 0,588388
1364,000000; 0,627211
1363,000000; 0,653906
1362,000000; 0,708911
1361,000000; 0,661137
1360,000000; 0,676526
1359,000000; 0,668377
1358,000000; 0,671512
1357,000000; 0,644848
1356,000000; 0,662454
1355,000000; 0,676465
1354,000000; 0,683072
1353,000000; 0,653931
1352,000000; 0,600438
1351,000000; 0,678406
1350,000000; 0,697086
1349,000000; 0,614093
1348,000000; 0,690954
1347,000000; 0,610706
1346,000000; 0,583616
1345,000000; 0,643072
1344,000000; 0,647985
1343,000000; 0,670124
1342,000000; 0,641171
1341,000000; 0,585261
1340,000000; 0,533979
1339,000000; 0,665335
1338,000000; 0,650893
1337,000000; 0,666237
1336,000000; 0,605357
1335,000000; 0,644056
1334,000000; 0,657064
1333,000000; 0,627976
1332,000000; 0,626853
1331,000000; 0,663907
1330,000000; 0,682537
1329,000000; 0,615219
1328,000000; 0,618560
1327,000000; 0,647304
1326,000000; 0,672546
1325,000000; 0,624900
1324,000000; 0,617647
1323,000000; 0,650310
1322,000000; 0,629316
1321,000000; 0,657788
1320,000000; 0,667405
1319,000000; 0,691634
1318,000000; 0,609775
1317,000000; 0,674269
1316,000000; 0,663195
1315,000000; 0,632997
1314,000000; 0,642221
1313,000000; 0,623247
1312,000000; 0,635324
1311,000000; 0,636392
1310,000000; 0,652909
1309,000000; 0,631181
1308,000000; 0,594993
1307,000000; 0,622685
1306,000000; 0,624886
1305,000000; 0,617639
1304,000000; 0,656880
1303,000000; 0,644299
1302,000000; 0,639600
1301,000000; 0,665701
1300,000000; 0,620740
1299,000000; 0,657987
1298,000000; 0,652316
1297,000000; 0,625430
1296,000000; 0,615872
1295,000000; 0,650039
1294,000000; 0,705364
1293,000000; 0,607703
1292,000000; 0,636148
1291,000000; 0,657006
1290,000000; 0,635558
1289,000000; 0,627758
1288,000000; 0,603093
1287,000000; 0,609512
1286,000000; 0,667211
1285,000000; 0,642057
1284,000000; 0,641506
1283,000000; 0,655309
1282,000000; 0,663412
1281,000000; 0,665215
1280,000000; 0,602509
1279,000000; 0,649717
1278,000000; 0,689018
1277,000000; 0,659534
1276,000000; 0,608528
1275,000000; 0,622787
1274,000000; 0,608315
1273,000000; 0,646444
1272,000000; 0,649963
1271,000000; 0,622941
1270,000000; 0,621489
1269,000000; 0,619569
1268,000000; 0,620764
1267,000000; 0,584348
1266,000000; 0,653580
1265,000000; 0,644540
1264,000000; 0,672964
1263,000000; 0,636937
1262,000000; 0,652839
1261,000000; 0,650338
1260,000000; 0,625594
1259,000000; 0,644766
1258,000000; 0,653987
1257,000000; 0,625820
1256,000000; 0,666591
1255,000000; 0,631094
1254,000000; 0,616058
1253,000000; 0,650453
1252,000000; 0,687271
1251,000000; 0,644305
1250,000000; 0,648282
1249,000000; 0,632199
1248,000000; 0,616156
1247,000000; 0,647916
1246,000000; 0,627513
1245,000000; 0,635475
1244,000000; 0,638623
1243,000000; 0,643730
1242,000000; 0,634416
1241,000000; 0,637535
1240,000000; 0,673134
1239,000000; 0,625168
1238,000000; 0,637912
1237,000000; 0,614125
1236,000000; 0,613047
1235,000000; 0,631177
1234,000000; 0,651131
1233,000000; 0,614816
1232,000000; 0,601829
1231,000000; 0,624163
1230,000000; 0,680258
1229,000000; 0,649809
1228,000000; 0,622670
1227,000000; 0,628318
1226,000000; 0,651773
1225,000000; 0,667081
1224,000000; 0,650558
1223,000000; 0,619664
1222,000000; 0,613721
1221,000000; 0,613649
1220,000000; 0,629920
1219,000000; 0,633177
1218,000000; 0,621893
1217,000000; 0,622488
1216,000000; 0,624516
1215,000000; 0,630044
1214,000000; 0,629888
1213,000000; 0,637132
1212,000000; 0,614821
1211,000000; 0,629194
1210,000000; 0,644611
1209,000000; 0,651346
1208,000000; 0,661914
1207,000000; 0,638896
1206,000000; 0,617849
1205,000000; 0,616531
1204,000000; 0,635553
1203,000000; 0,616707
1202,000000; 0,623753
1201,000000; 0,632598
1200,000000; 0,621032
1199,000000; 0,620693
1198,000000; 0,624860
1197,000000; 0,620625
1196,000000; 0,613888
1195,000000; 0,622766
1194,000000; 0,644281
1193,000000; 0,635408
1192,000000; 0,624662
1191,000000; 0,627384
1190,000000; 0,609193
1189,000000; 0,617738
1188,000000; 0,611100
1187,000000; 0,598975
1186,000000; 0,595585
1185,000000; 0,596909
1184,000000; 0,620535
1183,000000; 0,627011
1182,000000; 0,596327
1181,000000; 0,596198
1180,000000; 0,628866
1179,000000; 0,620114
1178,000000; 0,609204
1177,000000; 0,615060
1176,000000; 0,625592
1175,000000; 0,643148
1174,000000; 0,647972
1173,000000; 0,635780
1172,000000; 0,621792
1171,000000; 0,635504
1170,000000; 0,653296
1169,000000; 0,668454
1168,000000; 0,648708
1167,000000; 0,647123
1166,000000; 0,663335
1165,000000; 0,639441
1164,000000; 0,606142
1163,000000; 0,618804
1162,000000; 0,658365
1161,000000; 0,629562
1160,000000; 0,617926
1159,000000; 0,631221
1158,000000; 0,610333
1157,000000; 0,607728
1156,000000; 0,628311
1155,000000; 0,614679
1154,000000; 0,613539
1153,000000; 0,631727
1152,000000; 0,648062
1151,000000; 0,661525
1150,000000; 0,623492
1149,000000; 0,596564
1148,000000; 0,563252
1147,000000; 0,553508
1146,000000; 0,600931
1145,000000; 0,638001
1144,000000; 0,677207
1143,000000; 0,620510
1142,000000; 0,588150
1141,000000; 0,592206
1140,000000; 0,582923
1139,000000; 0,556014
1138,000000; 0,584939
1137,000000; 0,635835
1136,000000; 0,629626
1135,000000; 0,625216
1134,000000; 0,618136
1133,000000; 0,624070
1132,000000; 0,619749
1131,000000; 0,591121
1130,000000; 0,611179
1129,000000; 0,603520
1128,000000; 0,575689
1127,000000; 0,560100
1126,000000; 0,534897
1125,000000; 0,569391
1124,000000; 0,600473
1123,000000; 0,604163
1122,000000; 0,601216
1121,000000; 0,586418
1120,000000; 0,554930
1119,000000; 0,559950
1118,000000; 0,591298
1117,000000; 0,599953
1116,000000; 0,590115
1115,000000; 0,604906
1114,000000; 0,600846
1113,000000; 0,557148
1112,000000; 0,565646
1111,000000; 0,588809
1110,000000; 0,600748
1109,000000; 0,584948
1108,000000; 0,596048
1107,000000; 0,571849
1106,000000; 0,569128
1105,000000; 0,533023
1104,000000; 0,575253
1103,000000; 0,590625
1102,000000; 0,613156
1101,000000; 0,536605
1100,000000; 0,572404
1099,000000; 0,590340
1098,000000; 0,536714
1097,000000; 0,593347
1096,000000; 0,543122
