nm; %R
1600,000000; 44,136414
1599,000000; 44,144367
1598,000000; 44,221699
1597,000000; 44,254035
1596,000000; 44,295024
1595,000000; 44,396111
1594,000000; 44,519153
1593,000000; 44,424436
1592,000000; 44,583213
1591,000000; 44,675780
1590,000000; 44,686465
1589,000000; 44,676345
1588,000000; 44,877642
1587,000000; 44,790509
1586,000000; 44,897177
1585,000000; 45,046568
1584,000000; 45,144468
1583,000000; 45,113484
1582,000000; 45,185592
1581,000000; 45,234866
1580,000000; 45,276904
1579,000000; 45,352197
1578,000000; 45,438641
1577,000000; 45,486926
1576,000000; 45,541882
1575,000000; 45,642396
1574,000000; 45,634093
1573,000000; 45,671058
1572,000000; 45,712574
1571,000000; 45,864923
1570,000000; 45,918293
1569,000000; 45,947544
1568,000000; 46,057816
1567,000000; 46,044009
1566,000000; 46,061021
1565,000000; 46,203100
1564,000000; 46,214581
1563,000000; 46,202533
1562,000000; 46,405193
1561,000000; 46,355149
1560,000000; 46,444320
1559,000000; 46,533423
1558,000000; 46,557963
1557,000000; 46,632778
1556,000000; 46,724609
1555,000000; 46,755487
1554,000000; 46,853049
1553,000000; 46,860527
1552,000000; 46,976867
1551,000000; 47,009582
1550,000000; 47,015437
1549,000000; 47,043347
1548,000000; 47,183185
1547,000000; 47,217793
1546,000000; 47,264389
1545,000000; 47,348886
1544,000000; 47,364917
1543,000000; 47,399414
1542,000000; 47,494557
1541,000000; 47,543494
1540,000000; 47,634835
1539,000000; 47,676179
1538,000000; 47,736041
1537,000000; 47,821456
1536,000000; 47,871121
1535,000000; 47,926739
1534,000000; 47,971899
1533,000000; 48,010103
1532,000000; 48,010031
1531,000000; 48,085441
1530,000000; 48,188829
1529,000000; 48,246830
1528,000000; 48,339232
1527,000000; 48,365387
1526,000000; 48,420767
1525,000000; 48,440853
1524,000000; 48,456128
1523,000000; 48,590277
1522,000000; 48,664907
1521,000000; 48,682393
1520,000000; 48,694085
1519,000000; 48,797314
1518,000000; 48,856350
1517,000000; 48,923425
1516,000000; 48,986224
1515,000000; 48,990340
1514,000000; 49,036864
1513,000000; 49,075236
1512,000000; 49,116639
1511,000000; 49,173574
1510,000000; 49,226913
1509,000000; 49,292512
1508,000000; 49,387514
1507,000000; 49,444949
1506,000000; 49,464169
1505,000000; 49,515750
1504,000000; 49,559145
1503,000000; 49,628570
1502,000000; 49,685042
1501,000000; 49,755616
1500,000000; 49,812444
1499,000000; 49,835994
1498,000000; 49,845853
1497,000000; 49,932514
1496,000000; 50,061069
1495,000000; 50,105002
1494,000000; 50,137427
1493,000000; 50,143397
1492,000000; 50,208778
1491,000000; 50,292164
1490,000000; 50,351347
1489,000000; 50,373050
1488,000000; 50,408049
1487,000000; 50,489659
1486,000000; 50,527187
1485,000000; 50,558042
1484,000000; 50,639575
1483,000000; 50,658180
1482,000000; 50,700556
1481,000000; 50,773764
1480,000000; 50,832320
1479,000000; 50,887715
1478,000000; 50,956951
1477,000000; 50,997449
1476,000000; 51,002458
1475,000000; 51,055409
1474,000000; 51,128372
1473,000000; 51,187260
1472,000000; 51,248437
1471,000000; 51,298220
1470,000000; 51,300300
1469,000000; 51,345566
1468,000000; 51,400194
1467,000000; 51,455755
1466,000000; 51,520218
1465,000000; 51,578255
1464,000000; 51,626274
1463,000000; 51,681891
1462,000000; 51,687877
1461,000000; 51,725715
1460,000000; 51,777353
1459,000000; 51,833321
1458,000000; 51,892204
1457,000000; 51,938994
1456,000000; 51,964422
1455,000000; 51,976412
1454,000000; 52,014972
1453,000000; 52,064219
1452,000000; 52,117470
1451,000000; 52,194248
1450,000000; 52,269356
1449,000000; 52,311207
1448,000000; 52,335032
1447,000000; 52,394785
1446,000000; 52,440229
1445,000000; 52,459317
1444,000000; 52,490560
1443,000000; 52,550437
1442,000000; 52,597775
