nm; %R
1600,000000; 47,212252
1599,000000; 47,224532
1598,000000; 47,177799
1597,000000; 47,228679
1596,000000; 47,220092
1595,000000; 47,222233
1594,000000; 47,280678
1593,000000; 47,225054
1592,000000; 47,192489
1591,000000; 47,228197
1590,000000; 47,205587
1589,000000; 47,210637
1588,000000; 47,180223
1587,000000; 47,266537
1586,000000; 47,243230
1585,000000; 47,284830
1584,000000; 47,248393
1583,000000; 47,268355
1582,000000; 47,269088
1581,000000; 47,219384
1580,000000; 47,209301
1579,000000; 47,227932
1578,000000; 47,204758
1577,000000; 47,245495
1576,000000; 47,221797
1575,000000; 47,231145
1574,000000; 47,245038
1573,000000; 47,256517
1572,000000; 47,293349
1571,000000; 47,266292
1570,000000; 47,229696
1569,000000; 47,249581
1568,000000; 47,270638
1567,000000; 47,287531
1566,000000; 47,268052
1565,000000; 47,263868
1564,000000; 47,280664
1563,000000; 47,262605
1562,000000; 47,279333
1561,000000; 47,254725
1560,000000; 47,272594
1559,000000; 47,305200
1558,000000; 47,293649
1557,000000; 47,299176
1556,000000; 47,322344
1555,000000; 47,248386
1554,000000; 47,232168
1553,000000; 47,302567
1552,000000; 47,346007
1551,000000; 47,334099
1550,000000; 47,278100
1549,000000; 47,261610
1548,000000; 47,276285
1547,000000; 47,315925
1546,000000; 47,318608
1545,000000; 47,297785
1544,000000; 47,282096
1543,000000; 47,265567
1542,000000; 47,332266
1541,000000; 47,307605
1540,000000; 47,303986
1539,000000; 47,279549
1538,000000; 47,333476
1537,000000; 47,312531
1536,000000; 47,273270
1535,000000; 47,270911
1534,000000; 47,287656
1533,000000; 47,286135
1532,000000; 47,302420
1531,000000; 47,280218
1530,000000; 47,295234
1529,000000; 47,327329
1528,000000; 47,355724
1527,000000; 47,324429
1526,000000; 47,293215
1525,000000; 47,290214
1524,000000; 47,314527
1523,000000; 47,338239
1522,000000; 47,286296
1521,000000; 47,273952
1520,000000; 47,324241
1519,000000; 47,345147
1518,000000; 47,339651
1517,000000; 47,348952
1516,000000; 47,343431
1515,000000; 47,312046
1514,000000; 47,308501
1513,000000; 47,310198
1512,000000; 47,293935
1511,000000; 47,336683
1510,000000; 47,336567
1509,000000; 47,318186
1508,000000; 47,361092
1507,000000; 47,367010
1506,000000; 47,327716
1505,000000; 47,352631
1504,000000; 47,362545
1503,000000; 47,387339
1502,000000; 47,383663
1501,000000; 47,380077
1500,000000; 47,390459
1499,000000; 47,357102
1498,000000; 47,333571
