nm; %R
1600,000000; 43,780148
1599,000000; 43,771371
1598,000000; 43,758396
1597,000000; 43,856436
1596,000000; 43,733289
1595,000000; 43,805303
1594,000000; 43,858796
1593,000000; 43,867960
1592,000000; 43,869387
1591,000000; 43,951788
1590,000000; 43,915412
1589,000000; 43,880556
1588,000000; 43,937716
1587,000000; 43,932992
1586,000000; 43,958569
1585,000000; 44,039115
1584,000000; 43,988760
1583,000000; 44,016522
1582,000000; 44,039378
1581,000000; 44,038519
1580,000000; 43,992747
1579,000000; 44,084897
1578,000000; 44,050864
1577,000000; 44,072516
1576,000000; 44,162759
1575,000000; 44,158877
1574,000000; 44,130883
1573,000000; 44,194332
1572,000000; 44,176760
1571,000000; 44,166971
1570,000000; 44,194511
1569,000000; 44,224719
1568,000000; 44,198090
1567,000000; 44,231768
1566,000000; 44,252394
1565,000000; 44,251566
1564,000000; 44,296735
1563,000000; 44,317160
1562,000000; 44,306966
1561,000000; 44,314176
1560,000000; 44,387528
1559,000000; 44,336753
1558,000000; 44,405022
1557,000000; 44,413480
1556,000000; 44,409436
1555,000000; 44,456605
1554,000000; 44,514270
1553,000000; 44,446365
1552,000000; 44,448171
1551,000000; 44,466883
1550,000000; 44,458194
1549,000000; 44,460407
1548,000000; 44,521539
1547,000000; 44,554090
1546,000000; 44,524507
1545,000000; 44,562795
1544,000000; 44,558294
1543,000000; 44,563880
1542,000000; 44,618595
1541,000000; 44,624398
1540,000000; 44,646849
1539,000000; 44,644545
1538,000000; 44,664618
1537,000000; 44,683045
1536,000000; 44,669891
1535,000000; 44,692547
1534,000000; 44,706283
1533,000000; 44,722516
1532,000000; 44,705052
1531,000000; 44,743188
1530,000000; 44,767582
1529,000000; 44,817311
1528,000000; 44,830835
1527,000000; 44,789978
1526,000000; 44,838784
1525,000000; 44,839762
1524,000000; 44,874053
1523,000000; 44,914258
1522,000000; 44,931509
1521,000000; 44,935485
1520,000000; 44,927342
1519,000000; 44,948380
1518,000000; 44,941587
1517,000000; 44,942859
1516,000000; 45,028877
1515,000000; 45,043960
1514,000000; 45,079586
1513,000000; 45,062580
1512,000000; 45,020014
1511,000000; 45,051195
1510,000000; 45,039144
1509,000000; 45,100480
1508,000000; 45,119627
1507,000000; 45,112829
1506,000000; 45,127746
1505,000000; 45,145594
1504,000000; 45,163622
1503,000000; 45,174034
1502,000000; 45,168425
1501,000000; 45,180632
1500,000000; 45,212002
1499,000000; 45,216434
1498,000000; 45,219953
1497,000000; 45,260234
1496,000000; 45,283930
1495,000000; 45,304730
1494,000000; 45,311210
1493,000000; 45,310931
1492,000000; 45,332140
1491,000000; 45,374749
1490,000000; 45,376328
1489,000000; 45,381647
1488,000000; 45,389756
1487,000000; 45,427647
1486,000000; 45,449069
1485,000000; 45,479202
1484,000000; 45,522789
1483,000000; 45,493544
1482,000000; 45,478734
1481,000000; 45,504935
1480,000000; 45,535629
1479,000000; 45,535004
1478,000000; 45,596211
1477,000000; 45,608078
1476,000000; 45,574367
1475,000000; 45,600599
1474,000000; 45,618980
1473,000000; 45,634789
1472,000000; 45,671619
1471,000000; 45,690943
1470,000000; 45,683087
1469,000000; 45,682218
1468,000000; 45,691609
1467,000000; 45,697841
1466,000000; 45,734664
1465,000000; 45,762434
1464,000000; 45,787912
1463,000000; 45,815685
1462,000000; 45,822578
1461,000000; 45,819560
1460,000000; 45,833801
1459,000000; 45,886385
1458,000000; 45,880716
1457,000000; 45,880941
1456,000000; 45,892903
1455,000000; 45,891080
1454,000000; 45,941445
1453,000000; 45,940381
1452,000000; 45,947123
1451,000000; 45,989594
1450,000000; 46,037493
1449,000000; 46,068088
1448,000000; 46,044216
1447,000000; 46,041477
1446,000000; 46,051981
1445,000000; 46,073483
1444,000000; 46,090680
1443,000000; 46,106622
1442,000000; 46,149448
1441,000000; 46,155787
1440,000000; 46,162139
1439,000000; 46,189733
1438,000000; 46,198937
1437,000000; 46,174169
1436,000000; 46,185472
1435,000000; 46,238209
1434,000000; 46,269084
1433,000000; 46,299774
1432,000000; 46,340881
1431,000000; 46,322544
1430,000000; 46,307075
1429,000000; 46,355835
1428,000000; 46,353605
1427,000000; 46,349158
1426,000000; 46,355200
1425,000000; 46,387179
1424,000000; 46,382519
1423,000000; 46,397152
1422,000000; 46,443775
1421,000000; 46,461127
1420,000000; 46,478093
1419,000000; 46,487120
1418,000000; 46,511689
1417,000000; 46,511459
1416,000000; 46,515809
1415,000000; 46,541582
1414,000000; 46,571391
1413,000000; 46,591481
1412,000000; 46,588580
1411,000000; 46,594253
1410,000000; 46,594171
1409,000000; 46,622966
1408,000000; 46,648872
1407,000000; 46,740989
1406,000000; 46,732219
1405,000000; 46,711224
1404,000000; 46,716772
1403,000000; 46,762922
1402,000000; 46,779220
