nm; %T
1600,000000; 0,483012
1599,000000; 0,452800
1598,000000; 0,418166
1597,000000; 0,426726
1596,000000; 0,497245
1595,000000; 0,389767
1594,000000; 0,539821
1593,000000; 0,440995
1592,000000; 0,406829
1591,000000; 0,505697
1590,000000; 0,473131
1589,000000; 0,546932
1588,000000; 0,589938
1587,000000; 0,415698
1586,000000; 0,574147
1585,000000; 0,520890
1584,000000; 0,558157
1583,000000; 0,478936
1582,000000; 0,489197
1581,000000; 0,508002
1580,000000; 0,436113
1579,000000; 0,569313
1578,000000; 0,516121
1577,000000; 0,465820
1576,000000; 0,478610
1575,000000; 0,441945
1574,000000; 0,488338
1573,000000; 0,514059
1572,000000; 0,456442
1571,000000; 0,506590
1570,000000; 0,540870
1569,000000; 0,552732
1568,000000; 0,485613
1567,000000; 0,457482
1566,000000; 0,548673
1565,000000; 0,487256
1564,000000; 0,422603
1563,000000; 0,461166
1562,000000; 0,537149
1561,000000; 0,450598
1560,000000; 0,439016
1559,000000; 0,457088
1558,000000; 0,515325
1557,000000; 0,516160
1556,000000; 0,582009
1555,000000; 0,408388
1554,000000; 0,468532
1553,000000; 0,556674
1552,000000; 0,511055
1551,000000; 0,482787
1550,000000; 0,473501
1549,000000; 0,445447
1548,000000; 0,480995
1547,000000; 0,447001
1546,000000; 0,517973
1545,000000; 0,477237
1544,000000; 0,500637
1543,000000; 0,439061
1542,000000; 0,442014
1541,000000; 0,490081
1540,000000; 0,554032
1539,000000; 0,465027
1538,000000; 0,516274
1537,000000; 0,578718
1536,000000; 0,477849
1535,000000; 0,506349
1534,000000; 0,447822
1533,000000; 0,423534
1532,000000; 0,471487
1531,000000; 0,439995
1530,000000; 0,437992
1529,000000; 0,470293
1528,000000; 0,469987
1527,000000; 0,458101
1526,000000; 0,489882
1525,000000; 0,476789
1524,000000; 0,478543
1523,000000; 0,485449
1522,000000; 0,439616
1521,000000; 0,404060
1520,000000; 0,486672
1519,000000; 0,514699
1518,000000; 0,463983
1517,000000; 0,474785
1516,000000; 0,495735
1515,000000; 0,397708
1514,000000; 0,443329
1513,000000; 0,440840
1512,000000; 0,482591
1511,000000; 0,501692
1510,000000; 0,521468
1509,000000; 0,444593
1508,000000; 0,514250
1507,000000; 0,550780
1506,000000; 0,506064
1505,000000; 0,450067
1504,000000; 0,417692
1503,000000; 0,403442
1502,000000; 0,415909
1501,000000; 0,436927
1500,000000; 0,483974
1499,000000; 0,490426
1498,000000; 0,461847
1497,000000; 0,440389
1496,000000; 0,488292
1495,000000; 0,528186
1494,000000; 0,478620
1493,000000; 0,472076
1492,000000; 0,475823
1491,000000; 0,470596
1490,000000; 0,451361
1489,000000; 0,438483
1488,000000; 0,502514
1487,000000; 0,499578
1486,000000; 0,460398
1485,000000; 0,460957
1484,000000; 0,481234
1483,000000; 0,468620
1482,000000; 0,467200
1481,000000; 0,441460
1480,000000; 0,465981
1479,000000; 0,491665
1478,000000; 0,481648
1477,000000; 0,501922
1476,000000; 0,487976
1475,000000; 0,433707
1474,000000; 0,455445
1473,000000; 0,468464
1472,000000; 0,465056
1471,000000; 0,437376
1470,000000; 0,450902
1469,000000; 0,467130
1468,000000; 0,441785
1467,000000; 0,471511
1466,000000; 0,493311
1465,000000; 0,504197
1464,000000; 0,533366
1463,000000; 0,538146
1462,000000; 0,440222
1461,000000; 0,421489
1460,000000; 0,474685
1459,000000; 0,450802
1458,000000; 0,460904
1457,000000; 0,477201
1456,000000; 0,472046
1455,000000; 0,508832
1454,000000; 0,517666
1453,000000; 0,524426
1452,000000; 0,502007
1451,000000; 0,427192
1450,000000; 0,434025
1449,000000; 0,460830
1448,000000; 0,490890
1447,000000; 0,500058
1446,000000; 0,504444
1445,000000; 0,506454
1444,000000; 0,490373
1443,000000; 0,434171
1442,000000; 0,442466
1441,000000; 0,438876
1440,000000; 0,468614
1439,000000; 0,508770
1438,000000; 0,484145
1437,000000; 0,461652
1436,000000; 0,462055
1435,000000; 0,484523
1434,000000; 0,470837
1433,000000; 0,483323
1432,000000; 0,490747
1431,000000; 0,451915
1430,000000; 0,408449
1429,000000; 0,443703
1428,000000; 0,459875
1427,000000; 0,476118
1426,000000; 0,409282
1425,000000; 0,428739
1424,000000; 0,490603
1423,000000; 0,461904
1422,000000; 0,464902
1421,000000; 0,468362
1420,000000; 0,446243
1419,000000; 0,488188
1418,000000; 0,505842
1417,000000; 0,451267
1416,000000; 0,467688
1415,000000; 0,487123
1414,000000; 0,457052
1413,000000; 0,434620
1412,000000; 0,493968
1411,000000; 0,474874
1410,000000; 0,456320
1409,000000; 0,458847
1408,000000; 0,476754
1407,000000; 0,483622
1406,000000; 0,444437
1405,000000; 0,458031
1404,000000; 0,506914
1403,000000; 0,497024
1402,000000; 0,418074
1401,000000; 0,419646
1400,000000; 0,506729
1399,000000; 0,525233
