nm; %T
1600,000000; 24,143024
1599,000000; 24,223246
1598,000000; 24,158850
1597,000000; 24,251648
1596,000000; 24,192699
1595,000000; 24,120225
1594,000000; 24,351054
1593,000000; 24,298487
1592,000000; 24,371204
1591,000000; 24,366953
1590,000000; 24,331118
1589,000000; 24,345726
1588,000000; 24,428687
1587,000000; 24,414930
1586,000000; 24,488892
1585,000000; 24,392780
1584,000000; 24,477010
1583,000000; 24,474216
1582,000000; 24,551017
1581,000000; 24,481080
1580,000000; 24,522671
1579,000000; 24,494847
1578,000000; 24,566872
1577,000000; 24,608067
1576,000000; 24,645870
1575,000000; 24,640193
1574,000000; 24,608317
1573,000000; 24,675355
1572,000000; 24,653296
1571,000000; 24,708410
1570,000000; 24,748689
1569,000000; 24,752880
1568,000000; 24,785321
1567,000000; 24,834339
1566,000000; 24,832512
1565,000000; 24,795854
1564,000000; 24,866099
1563,000000; 24,813778
1562,000000; 24,843305
1561,000000; 24,861573
1560,000000; 24,877269
1559,000000; 24,862808
1558,000000; 24,927011
1557,000000; 24,933195
1556,000000; 24,987905
1555,000000; 24,986707
1554,000000; 25,046766
1553,000000; 25,010944
1552,000000; 25,023700
1551,000000; 25,098979
1550,000000; 25,066099
1549,000000; 25,122443
1548,000000; 25,149017
1547,000000; 25,144561
1546,000000; 25,143912
1545,000000; 25,137441
1544,000000; 25,182432
1543,000000; 25,205322
1542,000000; 25,196906
1541,000000; 25,235520
1540,000000; 25,306156
1539,000000; 25,358505
1538,000000; 25,327568
1537,000000; 25,305937
1536,000000; 25,315470
1535,000000; 25,387322
1534,000000; 25,353680
1533,000000; 25,372525
1532,000000; 25,394634
1531,000000; 25,374394
1530,000000; 25,412513
1529,000000; 25,500644
1528,000000; 25,510441
1527,000000; 25,476479
1526,000000; 25,514480
1525,000000; 25,484672
1524,000000; 25,504603
1523,000000; 25,597884
1522,000000; 25,581769
1521,000000; 25,590150
1520,000000; 25,564205
1519,000000; 25,627873
1518,000000; 25,664406
1517,000000; 25,687076
1516,000000; 25,716473
1515,000000; 25,714947
1514,000000; 25,739980
1513,000000; 25,710083
1512,000000; 25,671782
1511,000000; 25,746446
1510,000000; 25,721584
1509,000000; 25,773726
1508,000000; 25,795322
1507,000000; 25,842890
1506,000000; 25,863971
1505,000000; 25,846476
1504,000000; 25,868540
1503,000000; 25,851983
1502,000000; 25,894835
1501,000000; 25,953133
1500,000000; 25,980977
1499,000000; 25,968988
1498,000000; 25,971630
1497,000000; 25,970486
1496,000000; 26,007774
1495,000000; 26,038674
1494,000000; 26,082809
1493,000000; 26,044445
1492,000000; 26,043748
1491,000000; 26,085546
1490,000000; 26,085754
1489,000000; 26,104758
1488,000000; 26,088709
1487,000000; 26,155823
1486,000000; 26,208304
1485,000000; 26,219384
1484,000000; 26,239240
1483,000000; 26,201105
1482,000000; 26,237461
1481,000000; 26,282588
1480,000000; 26,277764
1479,000000; 26,298783
1478,000000; 26,349690
1477,000000; 26,347600
1476,000000; 26,332645
1475,000000; 26,356141
1474,000000; 26,378705
1473,000000; 26,410635
1472,000000; 26,440266
1471,000000; 26,422408
1470,000000; 26,425006
1469,000000; 26,459876
1468,000000; 26,466498
1467,000000; 26,485992
1466,000000; 26,531183
1465,000000; 26,544842
1464,000000; 26,577551
1463,000000; 26,585912
1462,000000; 26,562278
1461,000000; 26,598181
1460,000000; 26,614007
1459,000000; 26,636333
1458,000000; 26,632587
1457,000000; 26,665551
1456,000000; 26,689424
1455,000000; 26,640824
1454,000000; 26,674951
1453,000000; 26,728068
1452,000000; 26,734838
1451,000000; 26,770649
1450,000000; 26,831162
1449,000000; 26,854937
1448,000000; 26,828605
1447,000000; 26,833266
1446,000000; 26,880322
1445,000000; 26,898326
1444,000000; 26,907857
1443,000000; 26,927954
1442,000000; 26,935554
1441,000000; 26,942661
1440,000000; 26,955271
1439,000000; 26,969486
1438,000000; 26,975567
1437,000000; 26,997387
1436,000000; 27,004746
1435,000000; 27,041070
1434,000000; 27,087452
1433,000000; 27,122883
1432,000000; 27,153193
1431,000000; 27,128721
1430,000000; 27,132503
1429,000000; 27,162780
1428,000000; 27,169654
1427,000000; 27,156815
1426,000000; 27,156513
1425,000000; 27,186614
1424,000000; 27,215450
1423,000000; 27,259426
1422,000000; 27,309884
1421,000000; 27,337523
1420,000000; 27,326674
1419,000000; 27,348782
1418,000000; 27,412529
1417,000000; 27,409380
1416,000000; 27,382973
1415,000000; 27,441932
1414,000000; 27,486222
1413,000000; 27,484440
1412,000000; 27,505106
1411,000000; 27,504355
1410,000000; 27,509684
1409,000000; 27,526934
1408,000000; 27,533487
1407,000000; 27,611178
1406,000000; 27,617409
1405,000000; 27,607575
1404,000000; 27,648148
1403,000000; 27,695187
1402,000000; 27,737106
1401,000000; 27,737603
1400,000000; 27,690889
1399,000000; 27,689849
1398,000000; 27,777477
1397,000000; 27,813143
1396,000000; 27,811928
1395,000000; 27,829919
1394,000000; 27,888146
