nm; %T
1600,000000; 53,312185
1599,000000; 53,280970
1598,000000; 53,257079
1597,000000; 53,273241
1596,000000; 53,348966
1595,000000; 53,292729
1594,000000; 53,304832
1593,000000; 53,243163
1592,000000; 53,312948
1591,000000; 53,265857
1590,000000; 53,285951
1589,000000; 53,318640
1588,000000; 53,269620
1587,000000; 53,289700
1586,000000; 53,250747
1585,000000; 53,267265
1584,000000; 53,300839
1583,000000; 53,308832
1582,000000; 53,320693
1581,000000; 53,297549
1580,000000; 53,219386
1579,000000; 53,270076
1578,000000; 53,272074
1577,000000; 53,262245
1576,000000; 53,233414
1575,000000; 53,251882
1574,000000; 53,303661
1573,000000; 53,279349
1572,000000; 53,338452
1571,000000; 53,315582
1570,000000; 53,277258
1569,000000; 53,306719
1568,000000; 53,324914
1567,000000; 53,298512
1566,000000; 53,289640
1565,000000; 53,318829
1564,000000; 53,243713
1563,000000; 53,252213
1562,000000; 53,267968
1561,000000; 53,299452
1560,000000; 53,313669
1559,000000; 53,281921
1558,000000; 53,286116
1557,000000; 53,323203
1556,000000; 53,292917
1555,000000; 53,228958
1554,000000; 53,260697
1553,000000; 53,286228
1552,000000; 53,278324
1551,000000; 53,248102
1550,000000; 53,268760
1549,000000; 53,218123
1548,000000; 53,198606
1547,000000; 53,245668
1546,000000; 53,264358
1545,000000; 53,240892
1544,000000; 53,230845
1543,000000; 53,257173
1542,000000; 53,250350
1541,000000; 53,242493
1540,000000; 53,263655
1539,000000; 53,255237
1538,000000; 53,254526
1537,000000; 53,234375
1536,000000; 53,239154
1535,000000; 53,256285
1534,000000; 53,252418
1533,000000; 53,232978
1532,000000; 53,255159
1531,000000; 53,183344
1530,000000; 53,208546
1529,000000; 53,226774
1528,000000; 53,224224
1527,000000; 53,209896
1526,000000; 53,240587
1525,000000; 53,248815
1524,000000; 53,233828
1523,000000; 53,245914
1522,000000; 53,205868
1521,000000; 53,167924
1520,000000; 53,200978
1519,000000; 53,229199
1518,000000; 53,215233
1517,000000; 53,218144
1516,000000; 53,237382
1515,000000; 53,210943
1514,000000; 53,228185
1513,000000; 53,209652
1512,000000; 53,155833
1511,000000; 53,220315
1510,000000; 53,244093
1509,000000; 53,163363
1508,000000; 53,216736
1507,000000; 53,243593
1506,000000; 53,193820
1505,000000; 53,190939
1504,000000; 53,199350
1503,000000; 53,185361
1502,000000; 53,174885
1501,000000; 53,191023
1500,000000; 53,206774
1499,000000; 53,204323
1498,000000; 53,191481
1497,000000; 53,162328
1496,000000; 53,195090
1495,000000; 53,207450
1494,000000; 53,187207
1493,000000; 53,178499
1492,000000; 53,187654
1491,000000; 53,155309
1490,000000; 53,133225
1489,000000; 53,157165
1488,000000; 53,199873
1487,000000; 53,174917
1486,000000; 53,189336
1485,000000; 53,189121
1484,000000; 53,165496
1483,000000; 53,178738
1482,000000; 53,191599
1481,000000; 53,183369
1480,000000; 53,180223
1479,000000; 53,175959
1478,000000; 53,190110
1477,000000; 53,184521
1476,000000; 53,178350
1475,000000; 53,146926
1474,000000; 53,128531
1473,000000; 53,147733
1472,000000; 53,165527
1471,000000; 53,150783
1470,000000; 53,173348
1469,000000; 53,199869
1468,000000; 53,166204
1467,000000; 53,110894
1466,000000; 53,120189
1465,000000; 53,133088
1464,000000; 53,142690
1463,000000; 53,150854
1462,000000; 53,113961
1461,000000; 53,109917
1460,000000; 53,118121
1459,000000; 53,123445
1458,000000; 53,135718
1457,000000; 53,122935
1456,000000; 53,120598
1455,000000; 53,136425
1454,000000; 53,174817
1453,000000; 53,163522
1452,000000; 53,115772
1451,000000; 53,127630
1450,000000; 53,147987
1449,000000; 53,121478
1448,000000; 53,131367
1447,000000; 53,125409
1446,000000; 53,100256
1445,000000; 53,099474
1444,000000; 53,111413
1443,000000; 53,109376
1442,000000; 53,109038
1441,000000; 53,127111
1440,000000; 53,135333
1439,000000; 53,112854
1438,000000; 53,096906
1437,000000; 53,094823
1436,000000; 53,106318
1435,000000; 53,128774
1434,000000; 53,120870
1433,000000; 53,095868
1432,000000; 53,109868
1431,000000; 53,110359
1430,000000; 53,097658
1429,000000; 53,095840
1428,000000; 53,088440
1427,000000; 53,079516
1426,000000; 53,085475
