nm; %T
1600,000000; 52,726593
1599,000000; 52,676063
1598,000000; 52,635361
1597,000000; 52,683393
1596,000000; 52,656468
1595,000000; 52,651165
1594,000000; 52,673646
1593,000000; 52,664209
1592,000000; 52,638423
1591,000000; 52,568774
1590,000000; 52,619690
1589,000000; 52,606907
1588,000000; 52,582895
1587,000000; 52,577109
1586,000000; 52,558617
1585,000000; 52,586456
1584,000000; 52,549471
1583,000000; 52,518726
1582,000000; 52,613388
1581,000000; 52,572912
1580,000000; 52,517227
1579,000000; 52,497847
1578,000000; 52,508525
1577,000000; 52,543090
1576,000000; 52,542550
1575,000000; 52,552573
1574,000000; 52,526666
1573,000000; 52,547011
1572,000000; 52,479244
1571,000000; 52,481572
1570,000000; 52,474803
1569,000000; 52,449142
1568,000000; 52,543422
1567,000000; 52,522001
1566,000000; 52,479332
1565,000000; 52,453459
1564,000000; 52,469739
1563,000000; 52,432511
1562,000000; 52,456153
1561,000000; 52,476849
1560,000000; 52,469465
1559,000000; 52,422490
1558,000000; 52,441327
1557,000000; 52,410861
1556,000000; 52,421562
1555,000000; 52,438106
1554,000000; 52,441702
1553,000000; 52,453335
1552,000000; 52,369396
1551,000000; 52,384285
1550,000000; 52,366604
1549,000000; 52,378712
1548,000000; 52,417526
1547,000000; 52,361340
1546,000000; 52,357447
1545,000000; 52,401820
1544,000000; 52,320450
1543,000000; 52,355495
1542,000000; 52,348219
1541,000000; 52,340929
1540,000000; 52,329881
1539,000000; 52,344939
1538,000000; 52,344067
1537,000000; 52,318023
1536,000000; 52,295265
1535,000000; 52,299887
1534,000000; 52,304210
1533,000000; 52,296158
1532,000000; 52,250963
1531,000000; 52,229655
1530,000000; 52,219461
1529,000000; 52,221407
1528,000000; 52,220411
1527,000000; 52,220782
1526,000000; 52,231304
1525,000000; 52,194248
1524,000000; 52,172526
1523,000000; 52,208372
1522,000000; 52,250681
1521,000000; 52,221227
1520,000000; 52,174961
1519,000000; 52,191684
1518,000000; 52,161061
1517,000000; 52,157372
1516,000000; 52,201205
1515,000000; 52,155132
1514,000000; 52,117549
1513,000000; 52,097463
1512,000000; 52,089625
1511,000000; 52,097101
1510,000000; 52,025948
1509,000000; 52,061971
1508,000000; 52,091026
1507,000000; 52,090350
1506,000000; 52,077196
1505,000000; 52,058320
1504,000000; 52,066292
1503,000000; 52,038272
1502,000000; 52,000987
1501,000000; 52,007339
1500,000000; 52,008269
1499,000000; 52,002491
1498,000000; 51,960601
1497,000000; 51,969841
1496,000000; 52,022392
1495,000000; 52,007691
1494,000000; 51,968449
1493,000000; 51,933352
1492,000000; 51,931428
1491,000000; 51,971158
1490,000000; 51,960372
1489,000000; 51,963597
1488,000000; 51,941234
1487,000000; 51,939470
1486,000000; 51,952661
1485,000000; 51,957808
1484,000000; 51,941770
1483,000000; 51,893972
1482,000000; 51,871943
1481,000000; 51,903046
1480,000000; 51,935832
1479,000000; 51,912352
1478,000000; 51,898028
1477,000000; 51,878025
1476,000000; 51,875932
1475,000000; 51,863105
1474,000000; 51,863270
1473,000000; 51,865040
1472,000000; 51,842462
1471,000000; 51,833623
1470,000000; 51,816059
1469,000000; 51,816100
1468,000000; 51,810744
1467,000000; 51,789702
1466,000000; 51,779815
1465,000000; 51,779249
1464,000000; 51,788606
1463,000000; 51,784580
1462,000000; 51,758393
1461,000000; 51,766964
1460,000000; 51,746404
1459,000000; 51,734803
1458,000000; 51,740099
1457,000000; 51,730879
1456,000000; 51,717777
1455,000000; 51,690962
1454,000000; 51,712305
1453,000000; 51,700391
1452,000000; 51,671471
1451,000000; 51,694863
1450,000000; 51,702356
1449,000000; 51,690605
1448,000000; 51,666745
1447,000000; 51,662049
1446,000000; 51,670821
1445,000000; 51,664334
1444,000000; 51,653709
1443,000000; 51,672181
1442,000000; 51,679682
1441,000000; 51,664670
1440,000000; 51,631198
1439,000000; 51,626781
1438,000000; 51,632749
1437,000000; 51,589878
1436,000000; 51,579695
1435,000000; 51,609075
1434,000000; 51,622137
1433,000000; 51,618510
1432,000000; 51,628479
1431,000000; 51,592792
1430,000000; 51,565319
1429,000000; 51,582722
1428,000000; 51,556838
1427,000000; 51,555880
1426,000000; 51,568679
1425,000000; 51,542968
1424,000000; 51,529883
1423,000000; 51,520925
1422,000000; 51,548595
1421,000000; 51,557820
1420,000000; 51,528927
1419,000000; 51,518641
1418,000000; 51,526072
1417,000000; 51,502531
1416,000000; 51,493158
1415,000000; 51,510745
1414,000000; 51,531618
1413,000000; 51,524655
1412,000000; 51,486324
1411,000000; 51,476523
1410,000000; 51,471990
1409,000000; 51,485955
1408,000000; 51,493656
1407,000000; 51,525704
1406,000000; 51,511574
1405,000000; 51,511868
1404,000000; 51,507820
1403,000000; 51,496611
1402,000000; 51,494721
1401,000000; 51,452903
1400,000000; 51,435943
1399,000000; 51,443582
1398,000000; 51,472508
1397,000000; 51,493438
1396,000000; 51,424684
1395,000000; 51,439435
1394,000000; 51,434996
1393,000000; 51,412898
1392,000000; 51,430496
1391,000000; 51,479299
1390,000000; 51,440819
1389,000000; 51,419872
1388,000000; 51,428177
1387,000000; 51,433689
1386,000000; 51,406372
1385,000000; 51,407093
1384,000000; 51,434368
1383,000000; 51,393101
1382,000000; 51,376445
1381,000000; 51,404363
1380,000000; 51,377225
1379,000000; 51,402294
1378,000000; 51,338004
1377,000000; 51,350457
1376,000000; 51,367010
1375,000000; 51,364787
1374,000000; 51,332665
1373,000000; 51,331974
1372,000000; 51,310787
1371,000000; 51,320083
1370,000000; 51,297525
1369,000000; 51,312214
1368,000000; 51,297098
1367,000000; 51,283551
1366,000000; 51,305241
1365,000000; 51,291094
1364,000000; 51,253903
1363,000000; 51,241477
1362,000000; 51,274518
1361,000000; 51,246523
1360,000000; 51,288325
1359,000000; 51,244121
1358,000000; 51,286900
1357,000000; 51,236836
1356,000000; 51,221510
1355,000000; 51,212913
1354,000000; 51,201336
1353,000000; 51,153970
1352,000000; 51,107238
1351,000000; 51,120462
1350,000000; 51,062632
1349,000000; 51,042244
1348,000000; 51,005147
1347,000000; 51,052636
1346,000000; 51,037554
1345,000000; 51,037404
1344,000000; 51,007973
1343,000000; 50,978777
1342,000000; 50,982170
1341,000000; 50,975662
1340,000000; 50,989047
1339,000000; 51,017481
1338,000000; 50,973251
1337,000000; 50,965605
1336,000000; 50,985464
1335,000000; 50,970064
1334,000000; 50,955262
1333,000000; 50,946261
1332,000000; 50,942266
1331,000000; 50,934925
1330,000000; 50,939532
1329,000000; 50,922790
1328,000000; 50,956684
1327,000000; 50,930171
1326,000000; 50,915510
1325,000000; 50,958879
1324,000000; 50,893910
1323,000000; 50,891992
1322,000000; 50,907167
1321,000000; 50,877634
1320,000000; 50,894909
1319,000000; 50,914135
1318,000000; 50,881120
1317,000000; 50,886167
1316,000000; 50,865776
1315,000000; 50,848838
1314,000000; 50,847440
1313,000000; 50,887322
1312,000000; 50,863711
1311,000000; 50,821287
1310,000000; 50,838261
1309,000000; 50,823402
1308,000000; 50,839303
1307,000000; 50,857292
1306,000000; 50,854320
1305,000000; 50,807747
1304,000000; 50,801174
1303,000000; 50,804650
1302,000000; 50,771925
1301,000000; 50,806850
1300,000000; 50,782561
1299,000000; 50,752180
1298,000000; 50,776484
1297,000000; 50,773011
1296,000000; 50,781459
1295,000000; 50,760876
1294,000000; 50,754714
1293,000000; 50,756872
1292,000000; 50,763381
1291,000000; 50,756994
1290,000000; 50,742577
1289,000000; 50,761914
1288,000000; 50,736715
1287,000000; 50,744680
1286,000000; 50,742904
1285,000000; 50,740805
1284,000000; 50,714774
1283,000000; 50,733592
1282,000000; 50,721863
1281,000000; 50,746841
1280,000000; 50,752232
1279,000000; 50,724198
1278,000000; 50,694815
1277,000000; 50,704481
1276,000000; 50,715455
1275,000000; 50,690897
1274,000000; 50,684685
1273,000000; 50,685904
1272,000000; 50,703157
1271,000000; 50,713857
1270,000000; 50,700442
1269,000000; 50,706235
1268,000000; 50,691884
1267,000000; 50,676544
1266,000000; 50,666260
1265,000000; 50,679813
1264,000000; 50,666621
1263,000000; 50,665195
1262,000000; 50,699044
1261,000000; 50,674260
1260,000000; 50,677328
1259,000000; 50,654185
1258,000000; 50,664755
1257,000000; 50,682713
1256,000000; 50,679009
1255,000000; 50,682630
1254,000000; 50,675973
1253,000000; 50,669312
1252,000000; 50,655688
1251,000000; 50,668321
1250,000000; 50,676802
1249,000000; 50,646083
1248,000000; 50,673745
1247,000000; 50,683563
1246,000000; 50,676493
1245,000000; 50,659665
1244,000000; 50,651047
1243,000000; 50,666770
1242,000000; 50,663857
1241,000000; 50,678490
1240,000000; 50,678179
1239,000000; 50,676107
1238,000000; 50,676598
1237,000000; 50,675262
1236,000000; 50,687201
1235,000000; 50,675621
1234,000000; 50,673801
1233,000000; 50,680438
1232,000000; 50,692800
1231,000000; 50,687707
1230,000000; 50,662766
1229,000000; 50,659926
1228,000000; 50,690428
1227,000000; 50,672587
1226,000000; 50,669667
1225,000000; 50,686902
1224,000000; 50,712025
1223,000000; 50,695240
1222,000000; 50,680791
1221,000000; 50,689043
1220,000000; 50,685232
1219,000000; 50,696470
1218,000000; 50,711142
1217,000000; 50,724037
1216,000000; 50,706830
1215,000000; 50,700479
1214,000000; 50,700159
1213,000000; 50,706178
1212,000000; 50,724519
1211,000000; 50,726842
1210,000000; 50,719644
1209,000000; 50,723509
1208,000000; 50,733345
1207,000000; 50,735685
1206,000000; 50,743026
1205,000000; 50,718275
1204,000000; 50,728343
1203,000000; 50,747322
1202,000000; 50,745194
1201,000000; 50,733165
1200,000000; 50,737118
1199,000000; 50,746366
1198,000000; 50,761603
1197,000000; 50,776615
1196,000000; 50,759999
1195,000000; 50,763049
1194,000000; 50,759151
1193,000000; 50,751843
1192,000000; 50,775692
1191,000000; 50,766376
1190,000000; 50,752965
1189,000000; 50,756857
1188,000000; 50,741053
1187,000000; 50,730041
1186,000000; 50,740727
1185,000000; 50,734208
1184,000000; 50,719173
1183,000000; 50,699040
1182,000000; 50,667170
1181,000000; 50,654267
1180,000000; 50,638604
1179,000000; 50,633045
1178,000000; 50,597581
1177,000000; 50,543790
1176,000000; 50,491899
1175,000000; 50,436430
1174,000000; 50,413021
1173,000000; 50,372298
1172,000000; 50,296273
1171,000000; 50,232629
1170,000000; 50,184300
1169,000000; 50,119445
1168,000000; 50,047575
1167,000000; 49,981203
1166,000000; 49,922667
1165,000000; 49,864864
1164,000000; 49,782685
1163,000000; 49,699665
1162,000000; 49,637553
1161,000000; 49,560197
1160,000000; 49,485312
1159,000000; 49,396642
1158,000000; 49,325626
1157,000000; 49,245081
1156,000000; 49,150157
1155,000000; 49,059715
1154,000000; 48,972219
1153,000000; 48,863138
1152,000000; 48,772119
1151,000000; 48,701355
1150,000000; 48,624909
1149,000000; 48,511344
1148,000000; 48,413439
1147,000000; 48,342109
1146,000000; 48,239482
1145,000000; 48,122934
1144,000000; 48,034936
1143,000000; 47,923090
1142,000000; 47,814343
1141,000000; 47,733497
1140,000000; 47,632183
1139,000000; 47,518115
1138,000000; 47,400462
1137,000000; 47,294284
1136,000000; 47,214936
1135,000000; 47,105936
1134,000000; 46,970397
1133,000000; 46,855872
1132,000000; 46,738594
1131,000000; 46,628194
1130,000000; 46,520169
1129,000000; 46,376489
1128,000000; 46,263830
1127,000000; 46,142406
1126,000000; 46,009867
1125,000000; 45,874835
1124,000000; 45,757771
1123,000000; 45,625322
1122,000000; 45,475560
1121,000000; 45,370469
1120,000000; 45,217660
1119,000000; 45,079166
