Voltage (V), Current (A), Power (W)
0000.00000000, 0000.97740650, 0000.00000000
0000.22832720, 0000.97854820, 0000.22342920
0000.24786330, 0000.97827170, 0000.24247760
0000.29426130, 0000.97682880, 0000.28744290
0000.34188040, 0000.97635960, 0000.33379820
0000.39316240, 0000.97430220, 0000.38305900
0000.44444450, 0000.97138230, 0000.43172550
0000.49694750, 0000.96875580, 0000.48142080
0000.53846160, 0000.96796780, 0000.52121350
0000.58241760, 0000.96595230, 0000.56258760
0000.63125770, 0000.96698570, 0000.61041710
0000.68253980, 0000.96563530, 0000.65908450
0000.73015880, 0000.96748200, 0000.70641550
0000.76190480, 0000.96977730, 0000.73887800
0000.79120870, 0000.96997020, 0000.76744890
0000.82417580, 0000.96974850, 0000.79924330
0000.87179490, 0000.97094830, 0000.84646780
0000.95116000, 0000.96844350, 0000.92114470
0001.07448100, 0000.96210960, 0001.03376800
0001.21489600, 0000.95964400, 0001.16586800
0001.35531200, 0000.95572220, 0001.29530100
0001.47252700, 0000.95071730, 0001.39995700
0001.57264900, 0000.94721070, 0001.48963000
0001.66788800, 0000.94497410, 0001.57611100
0001.74603200, 0000.94037470, 0001.64192400
0001.83516500, 0000.93554740, 0001.71688400
0001.92063500, 0000.93161400, 0001.78929000
0001.98779000, 0000.92993890, 0001.84852300
0002.05250300, 0000.92706500, 0001.90280400
0002.11477400, 0000.92339470, 0001.95277100
0002.16239300, 0000.92095330, 0001.99146300
0002.21611700, 0000.91891400, 0002.03642100
0002.27106200, 0000.91458430, 0002.07707800
0002.29426100, 0000.91112010, 0002.09034800
0002.32967000, 0000.90979960, 0002.11953300
0002.36630000, 0000.90316880, 0002.13716900
0002.40903500, 0000.89432860, 0002.15446900
0002.45299100, 0000.88478910, 0002.17038000
0002.49328400, 0000.87699870, 0002.18660700
0002.52258900, 0000.86684970, 0002.18670500
0002.54700900, 0000.86208690, 0002.19574300
0002.55921900, 0000.85720430, 0002.19377300
0002.57020800, 0000.85282200, 0002.19193000
0002.58730200, 0000.84676330, 0002.19083200
0002.60928000, 0000.83832850, 0002.18743300
0002.62759500, 0000.82756510, 0002.17450600
0002.64468900, 0000.81714590, 0002.16109700
0002.66300400, 0000.80488630, 0002.14341500
0002.67765600, 0000.79214730, 0002.12109800
0002.68742400, 0000.78231750, 0002.10241900
0002.69841300, 0000.77384790, 0002.08816100
0002.71184400, 0000.76521270, 0002.07513700
0002.72283300, 0000.75629840, 0002.05927400
0002.73626400, 0000.74344700, 0002.03426700
0002.74847400, 0000.73444720, 0002.01860900
0002.76068400, 0000.72161660, 0001.99215500
0002.77411500, 0000.70555450, 0001.95728900
0002.78876700, 0000.69046060, 0001.92553400
0002.80097700, 0000.67539040, 0001.89175300
0002.81318700, 0000.65968030, 0001.85580400
0002.82783900, 0000.64257050, 0001.81708600
0002.84004900, 0000.62788220, 0001.78321600
0002.85103800, 0000.61399670, 0001.75052800
0002.86324800, 0000.59678690, 0001.70874900
0002.87545800, 0000.57910300, 0001.66518600
0002.88644700, 0000.56265440, 0001.62407200
0002.89865700, 0000.54418460, 0001.57740500
0002.91086700, 0000.52340300, 0001.52355600
0002.92063500, 0000.50917610, 0001.48711800
0002.93284500, 0000.48816580, 0001.43171500
0002.94383400, 0000.46762450, 0001.37660900
0002.95360200, 0000.44888880, 0001.32583900
0002.96581200, 0000.42762290, 0001.26824900
0002.97802200, 0000.40534710, 0001.20713200
0002.99023200, 0000.38371220, 0001.14738900
0003.00122100, 0000.36310470, 0001.08975800
0003.01343100, 0000.34086790, 0001.02718200
0003.02319900, 0000.31988740, 0000.96708340
0003.03418800, 0000.29736220, 0000.90225290
0003.04395600, 0000.27513360, 0000.83749470
0003.05616600, 0000.24990890, 0000.76376310
0003.06715500, 0000.22477100, 0000.68940750
0003.07936500, 0000.19844460, 0000.61108320
0003.09035400, 0000.17189540, 0000.53121760
0003.10256400, 0000.14516820, 0000.45039380
0003.11233200, 0000.11879740, 0000.36973680
0003.12332100, 0000.09117264, 0000.28476140
0003.13431000, 0000.06364972, 0000.19949800
0003.14407800, 0000.04007315, 0000.12599310
0003.15140400, 0000.02154647, 0000.06790165
0003.15750900, 0000.00000000, 0000.00000000
