Baseline 100%T,,G230130-1,,G230130-2,,G230130-3,,G230131-1,,G230131-2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,-0.004246524535,1400,0.0009085116326,1400,-0.004421364982,1400,-0.003084104974,1400,-0.004219915718,1400,-0.003928494174,
1399,-0.004327008035,1399,0.001112137921,1399,-0.004019039217,1399,-0.002852666657,1399,-0.003983541857,1399,-0.003545327811,
1398,-0.00444386201,1398,0.001403446775,1398,-0.003781478386,1398,-0.002573913429,1398,-0.003759254934,1398,-0.00313432538,
1397,-0.004250779748,1397,0.001438948908,1397,-0.003568743356,1397,-0.002538709203,1397,-0.00359297893,1397,-0.003095105523,
1396,-0.003889038227,1396,0.001167082461,1396,-0.003618856426,1396,-0.002539944602,1396,-0.003522630082,1396,-0.003261931939,
1395,-0.004015705083,1395,0.001436533523,1395,-0.003201191081,1395,-0.002212883672,1395,-0.003127180738,1395,-0.002911244985,
1394,-0.004334901925,1394,0.00190204056,1394,-0.002633146709,1394,-0.001660615788,1394,-0.00260839425,1394,-0.002477764152,
1393,-0.004296764731,1393,0.001949102385,1393,-0.002597793005,1393,-0.001669331803,1393,-0.00255976012,1393,-0.002319236286,
1392,-0.004186280072,1392,0.001765044406,1392,-0.002749634208,1392,-0.001871245913,1392,-0.002736052498,1392,-0.002145814011,
1391,-0.004321882501,1391,0.001856049756,1391,-0.002744541271,1391,-0.00195201626,1391,-0.002727100626,1391,-0.001643595984,
1390,-0.004283846356,1390,0.001748176292,1390,-0.003055214183,1390,-0.002460158663,1390,-0.003016449977,1390,-0.001408085926,
1389,-0.00404596841,1389,0.001418016036,1389,-0.003565867897,1389,-0.002705028979,1389,-0.003501009662,1389,-0.001293044654,
1388,-0.003817043733,1388,0.001232573413,1388,-0.004022578709,1388,-0.003234286094,1388,-0.003999546636,1388,-0.001119625056,
1387,-0.003970255144,1387,0.001242957427,1387,-0.004082640633,1387,-0.003118185559,1387,-0.004069408402,1387,-0.0006529225502,
1386,-0.00399790518,1386,0.001176712103,1386,-0.004239346832,1386,-0.003199906321,1386,-0.004206584767,1386,-0.0002960863058,
1385,-0.003824946936,1385,0.001015735674,1385,-0.004463796038,1385,-0.003445284674,1385,-0.004404401872,1385,-6.036188279E-5,
1384,-0.003767364193,1384,0.0008987063775,1384,-0.004585428629,1384,-0.003456892446,1384,-0.004504275974,1384,2.073515498E-5,
1383,-0.003596881172,1383,0.0007554656477,1383,-0.00474671647,1383,-0.003548665671,1383,-0.00462722918,1383,-3.577293319E-5,
1382,-0.003732667305,1382,0.0008793299203,1382,-0.004576771054,1382,-0.003292864189,1382,-0.004432690796,1382,6.945760833E-5,
1381,-0.00383095094,1381,0.0009653243469,1381,-0.004460926633,1381,-0.003129442222,1381,-0.004369140603,1381,3.663019015E-5,
1380,-0.0038371603,1380,0.001081151888,1380,-0.004403172061,1380,-0.003048222279,1380,-0.004296713043,1380,-0.0001880984782,
1379,-0.003811347298,1379,0.0009216375765,1379,-0.00453102123,1379,-0.003109395737,1379,-0.004349663854,1379,-0.000650337839,
1378,-0.003615416354,1378,0.0008000434027,1378,-0.004630507436,1378,-0.003326003673,1378,-0.004555049352,1378,-0.001204820466,
1377,-0.003684158903,1377,0.0007283426239,1377,-0.004728024825,1377,-0.003397874068,1377,-0.004651354626,1377,-0.001691868762,
1376,-0.003721836954,1376,0.0009360869299,1376,-0.004622362554,1376,-0.00323521113,1376,-0.004531482235,1376,-0.002114336239,
1375,-0.003624555189,1375,0.0008239289746,1375,-0.004829411395,1375,-0.0033573939,1375,-0.004705695901,1375,-0.002848706441,
1374,-0.003593800589,1374,0.000773021311,1374,-0.004849480931,1374,-0.003388833255,1374,-0.004736371804,1374,-0.003409072291,
1373,-0.003449855838,1373,0.0006862353184,1373,-0.004997364245,1373,-0.00348945451,1373,-0.004852655344,1373,-0.004036530852,
1372,-0.003233772237,1372,0.0005702019553,1372,-0.005179781001,1372,-0.003671735758,1372,-0.004994293209,1372,-0.004624923691,
1371,-0.003209773451,1371,0.000572819903,1371,-0.005298656411,1371,-0.003677177243,1371,-0.005105288699,1371,-0.005026535597,
1370,-0.003340851283,1370,0.0005542873987,1370,-0.005271498114,1370,-0.003646015655,1370,-0.00510963751,1370,-0.005309089553,
1369,-0.003434909275,1369,0.0005024265265,1369,-0.005299423356,1369,-0.003651354928,1369,-0.005106004886,1369,-0.005443728063,
1368,-0.003524324857,1368,0.0005034631467,1368,-0.005342178047,1368,-0.003593595233,1368,-0.005123503506,1368,-0.005575973541,
1367,-0.003536700737,1367,0.0002854088962,1367,-0.005395870656,1367,-0.003692115657,1367,-0.005201267079,1367,-0.005725346506,
1366,-0.003697711043,1366,0.0006187527906,1366,-0.005272418726,1366,-0.003480107291,1366,-0.005068037193,1366,-0.005627184175,
1365,-0.00358337746,1365,0.0005079725524,1365,-0.005429821089,1365,-0.003623733763,1365,-0.005235795863,1365,-0.005875485949,
1364,-0.003616083879,1364,0.0004246597819,1364,-0.005495465361,1364,-0.003711673431,1364,-0.005293542054,1364,-0.005949999671,
1363,-0.003847885411,1363,0.0004640985571,1363,-0.005329444073,1363,-0.003532233182,1363,-0.005114242435,1363,-0.005898929201,
1362,-0.003947528079,1362,0.0005128707853,1362,-0.005126471166,1362,-0.003451396711,1362,-0.004956213757,1362,-0.005847393069,
