ÿþProject:	Helena Godinho Viscosity Curve 

Test:	a2 rep1

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	5.71	0	0	25.02	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.18144	1.8143	25.02	0.00083581	Dy_auto	0.100
	2	126	0.18356	1.457	25.02	0.00084557	Dy_auto	0.100
	3	159	0.17583	1.1086	25.02	0.00080997	Dy_auto	0.100
	4	200	0.28908	1.4479	25.02	0.0013317	Dy_auto	0.100
	5	251	0.39187	1.559	25.02	0.0018051	Dy_auto	0.100
	6	316	0.51921	1.6406	25.01	0.0023917	Dy_auto	0.100
	7	398	0.67318	1.6895	25.01	0.003101	Dy_auto	0.100
	8	502	0.88314	1.7607	25.01	0.0040682	Dy_auto	0.100
	9	631	1.1618	1.8399	25.01	0.0053518	Dy_auto	0.100
	10	795	1.4584	1.8346	25.01	0.0067179	Dy_auto	0.100
	11	1E+03	1.8885	1.8868	25.01	0.0086994	Dy_auto	0.100

Test:	a7 rep1

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	-1.25	0	0	25.03	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.29255	2.9256	25.02	0.0013476	Dy_auto	0.100
	2	126	0.25385	2.0148	25.02	0.0011693	Dy_auto	0.100
	3	159	0.32513	2.0501	25.02	0.0014977	Dy_auto	0.100
	4	200	0.43162	2.1619	25.02	0.0019882	Dy_auto	0.100
	5	251	0.54528	2.1691	25.02	0.0025118	Dy_auto	0.100
	6	316	0.74544	2.3554	25.02	0.0034339	Dy_auto	0.100
	7	398	0.96608	2.4246	25.01	0.0044502	Dy_auto	0.100
	8	502	1.2582	2.5085	25.01	0.005796	Dy_auto	0.100
	9	632	1.6157	2.5583	25.01	0.0074427	Dy_auto	0.100
	10	795	2.0596	2.5904	25.01	0.0094874	Dy_auto	0.100
	11	1E+03	2.6283	2.6255	25.01	0.012107	Dy_auto	0.100

Test:	a8 rep1

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	-7.11	0	0	25.03	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.42431	4.2433	25.03	0.0019546	Dy_auto	0.100
	2	126	0.40629	3.2251	25.02	0.0018716	Dy_auto	0.100
	3	159	0.56679	3.5736	25.02	0.0026109	Dy_auto	0.100
	4	200	0.65888	3.3002	25.02	0.0030351	Dy_auto	0.100
	5	251	0.79435	3.1604	25.02	0.0036592	Dy_auto	0.100
	6	316	1.0531	3.3279	25.02	0.004851	Dy_auto	0.100
	7	398	1.3446	3.3751	25.02	0.0061938	Dy_auto	0.100
	8	502	1.7318	3.4526	25.02	0.0079777	Dy_auto	0.100
	9	632	2.1888	3.4658	25.02	0.010083	Dy_auto	0.100
	10	795	2.7814	3.4986	25.01	0.012813	Dy_auto	0.100
	11	1E+03	3.4697	3.4672	25.01	0.015983	Dy_auto	0.100

Test:	b4 rep1

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	7.96	0	0	25.03	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.7595	7.5971	25.03	0.0034986	Dy_auto	0.100
	2	126	0.79755	6.3319	25.03	0.0036739	Dy_auto	0.100
	3	159	1.0868	6.8533	25.03	0.0050063	Dy_auto	0.100
	4	200	1.3423	6.7228	25.02	0.0061832	Dy_auto	0.100
	5	251	1.702	6.7706	25.02	0.0078404	Dy_auto	0.100
	6	316	2.2318	7.0523	25.02	0.010281	Dy_auto	0.100
	7	398	2.8534	7.1631	25.02	0.013144	Dy_auto	0.100
	8	502	3.6537	7.2832	25.02	0.016831	Dy_auto	0.100
	9	632	4.6461	7.3572	25.02	0.021402	Dy_auto	0.100
	10	795	5.9231	7.453	25.02	0.027285	Dy_auto	0.100
	11	1E+03	7.4901	7.4819	25.02	0.034503	Dy_auto	0.100

Test:	a 10 rep1

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	-0.26	0	0	25.03	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	1.1153	11.153	25.03	0.0051376	Dy_auto	0.100
	2	126	1.3146	10.435	25.03	0.0060556	Dy_auto	0.100
	3	159	1.6456	10.38	25.03	0.0075805	Dy_auto	0.100
	4	200	2.1082	10.559	25.02	0.0097113	Dy_auto	0.100
	5	251	2.6647	10.603	25.02	0.012275	Dy_auto	0.100
	6	316	3.4252	10.823	25.02	0.015778	Dy_auto	0.100
	7	398	4.3532	10.927	25.02	0.020053	Dy_auto	0.100
	8	502	5.53	11.025	25.02	0.025474	Dy_auto	0.100
	9	631	6.9945	11.077	25.02	0.03222	Dy_auto	0.100
	10	795	8.8025	11.074	25.02	0.040548	Dy_auto	0.100
	11	1E+03	11.048	11.036	25.01	0.050892	Dy_auto	0.100

Test:	b12 rep1

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	3.77	0	0	25.01	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.40297	4.0303	25.01	0.0018563	Dy_auto	0.100
	2	126	0.41576	3.3003	25.01	0.0019152	Dy_auto	0.100
	3	159	0.47993	3.0259	25.01	0.0022108	Dy_auto	0.100
	4	200	0.66261	3.3192	25.01	0.0030523	Dy_auto	0.100
	5	251	0.85375	3.3966	25.01	0.0039328	Dy_auto	0.100
	6	316	1.1181	3.533	25.01	0.0051507	Dy_auto	0.100
	7	398	1.4386	3.611	25.01	0.0066269	Dy_auto	0.100
	8	502	1.849	3.6868	25.01	0.0085173	Dy_auto	0.100
	9	631	2.3655	3.7462	25.01	0.010897	Dy_auto	0.100
	10	795	3.0026	3.7771	25.01	0.013832	Dy_auto	0.100
	11	1E+03	3.8381	3.8351	25.01	0.01768	Dy_auto	0.100

Test:	a11 rep2

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	-3.01	0	0	25.01	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.29414	2.9416	25.01	0.001355	Dy_auto	0.100
	2	126	0.29599	2.3496	25.01	0.0013635	Dy_auto	0.100
	3	159	0.39027	2.4607	25.01	0.0017978	Dy_auto	0.100
	4	200	0.49201	2.4644	25.01	0.0022665	Dy_auto	0.100
	5	251	0.61817	2.4592	25.01	0.0028476	Dy_auto	0.100
	6	316	0.84518	2.6707	25.01	0.0038933	Dy_auto	0.100
	7	398	1.0931	2.7437	25.01	0.0050353	Dy_auto	0.100
	8	502	1.426	2.8427	25.01	0.0065688	Dy_auto	0.100
	9	632	1.8262	2.8917	25.01	0.0084125	Dy_auto	0.100
	10	795	2.3479	2.9532	25.01	0.010816	Dy_auto	0.100
	11	1E+03	2.9707	2.9681	25.01	0.013684	Dy_auto	0.100

Test:	a11 rep1

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	6.15	0	0	25.01	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.2815	2.815	25.01	0.0012967	Dy_auto	0.100
	2	126	0.30509	2.4215	25.01	0.0014054	Dy_auto	0.100
