	a4 rep1

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	10	0	0	25.01	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.4437	4.4373	25.01	0.0020439	Dy_auto	0.100
	2	126	0.56031	4.4476	25.01	0.0025811	Dy_auto	0.100
	3	159	0.64528	4.0692	25.00	0.0029724	Dy_auto	0.100
	4	200	0.88751	4.4451	25.00	0.0040883	Dy_auto	0.100
	5	251	1.1536	4.5888	25.00	0.0053139	Dy_auto	0.100
	6	316	1.4788	4.6738	25.01	0.0068121	Dy_auto	0.100
	7	398	1.892	4.7485	25.01	0.0087156	Dy_auto	0.100
	8	502	2.4228	4.8308	25.01	0.011161	Dy_auto	0.100
	9	631	3.1012	4.9112	25.00	0.014285	Dy_auto	0.100
	10	795	3.9174	4.9278	25.00	0.018046	Dy_auto	0.100
	11	1E+03	5.0024	4.9986	25.00	0.023043	Dy_auto	0.100

