	b22 rep1

Result:	Viscosity curve 1

Interval and data points:	1	41
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	0.1	-0.14851	-1484.4	25.02	-0.00060737	Dy_auto	0.052
	2	0.126	-0.15	-1192.3	25.02	-0.00061345	Dy_auto	0.052
	3	0.158	-0.14509	-916.09	25.02	-0.00059339	Dy_auto	0.052
	4	0.199	-0.13829	-693.68	25.02	-0.00056559	Dy_auto	0.052
	5	0.251	-0.12949	-515.9	25.02	-0.00052959	Dy_auto	0.052
	6	0.316	-0.11913	-377	25.02	-0.00048722	Dy_auto	0.052
	7	0.398	-0.11041	-277.27	25.02	-0.00045157	Dy_auto	0.052
	8	0.501	-0.094663	-188.8	25.02	-0.00038715	Dy_auto	0.052
	9	0.631	-0.072967	-115.59	25.01	-0.00029842	Dy_auto	0.052
	10	0.795	-0.056135	-70.627	25.01	-0.00022958	Dy_auto	0.052
	11	1	-0.030998	-30.976	25.01	-0.00012678	Dy_auto	0.052
	12	1.26	-0.0064615	-5.1283	25.02	-2.6426E-05	Dy_auto	0.052
	13	1.59	0.016167	10.192	25.02	6.6118E-05	Dy_auto	0.052
	14	2	0.039094	19.578	25.01	0.00015989	Dy_auto	0.052
	15	2.51	0.088718	35.293	25.01	0.00036284	Dy_auto	0.052
	16	3.16	0.18229	57.605	25.01	0.00074553	Dy_auto	0.052
	17	3.98	0.2737	68.707	25.01	0.0011194	Dy_auto	0.052
	18	5.01	0.3114	62.094	25.01	0.0012736	Dy_auto	0.052
	19	6.31	0.37563	59.495	25.01	0.0015363	Dy_auto	0.052
	20	7.95	0.30376	38.214	25.01	0.0012423	Dy_auto	0.052
	21	10	0.16695	16.682	25.01	0.0006828	Dy_auto	0.052
	22	12.6	0.020016	1.5886	25.01	8.186E-05	Dy_auto	0.052
	23	15.9	0.13638	8.5979	25.01	0.00055778	Dy_auto	0.052
	24	20	0.51685	25.883	25.02	0.0021138	Dy_auto	0.052
	25	25.1	0.51519	20.494	25.01	0.002107	Dy_auto	0.052
	26	31.6	0.43319	13.688	25.01	0.0017716	Dy_auto	0.052
	27	39.8	0.82088	20.603	25.01	0.0033572	Dy_auto	0.052
	28	50.2	0.91267	18.195	25.01	0.0037326	Dy_auto	0.052
	29	63.1	1.1058	17.512	25.01	0.0045224	Dy_auto	0.052
	30	79.5	1.4489	18.225	25.01	0.0059255	Dy_auto	0.052
	31	100	1.7541	17.527	25.01	0.0071738	Dy_auto	0.052
	32	126	2.2841	18.129	25.01	0.0093415	Dy_auto	0.052
	33	159	2.8111	17.723	25.01	0.011497	Dy_auto	0.052
	34	200	3.5765	17.911	25.01	0.014627	Dy_auto	0.052
	35	251	4.4995	17.898	25.01	0.018402	Dy_auto	0.052
	36	316	5.6217	17.763	25.01	0.022991	Dy_auto	0.052
	37	398	7.117	17.863	25.01	0.029107	Dy_auto	0.052
	38	502	8.9504	17.844	25.01	0.036605	Dy_auto	0.052
	39	631	11.297	17.89	25.01	0.046203	Dy_auto	0.052
	40	795	14.233	17.904	25.01	0.058209	Dy_auto	0.052
	41	1E+03	17.911	17.897	25.01	0.073252	Dy_auto	0.052

