	agua rep2 13-02 PP0.1mm

Result:	Viscosity curve 1

Interval and data points:	1	41
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	0.0994	-0.16809	-1691.1	25.02	-0.00077432	Dy_auto	0.100
	2	0.126	-0.17191	-1366.5	25.02	-0.00079191	Dy_auto	0.100
	3	0.158	-0.17192	-1085.4	25.02	-0.00079196	Dy_auto	0.100
	4	0.199	-0.16872	-846.22	25.02	-0.00077721	Dy_auto	0.100
	5	0.251	-0.16651	-663.53	25.02	-0.00076704	Dy_auto	0.100
	6	0.316	-0.16341	-517.15	25.02	-0.00075274	Dy_auto	0.100
	7	0.398	-0.15805	-397.35	25.02	-0.00072806	Dy_auto	0.100
	8	0.501	-0.15041	-300.3	25.02	-0.00069285	Dy_auto	0.100
	9	0.631	-0.14621	-231.64	25.02	-0.0006735	Dy_auto	0.100
	10	0.795	-0.13356	-168.09	25.01	-0.00061524	Dy_auto	0.100
	11	1	-0.11753	-117.5	25.02	-0.00054141	Dy_auto	0.100
	12	1.26	-0.099766	-79.196	25.02	-0.00045957	Dy_auto	0.100
	13	1.59	-0.072201	-45.531	25.01	-0.00033259	Dy_auto	0.100
	14	2	-0.043654	-21.865	25.01	-0.00020109	Dy_auto	0.100
	15	2.51	-0.019701	-7.8389	25.01	-9.0754E-05	Dy_auto	0.100
	16	3.16	0.00055352	0.17494	25.01	2.5498E-06	Dy_auto	0.100
	17	3.98	0.024807	6.2257	25.01	0.00011427	Dy_auto	0.100
	18	5.02	0.097585	19.456	25.01	0.00044952	Dy_auto	0.100
	19	6.31	0.17817	28.217	25.01	0.00082076	Dy_auto	0.100
	20	7.95	0.20423	25.697	25.01	0.00094076	Dy_auto	0.100
	21	10	0.24884	24.87	25.01	0.0011463	Dy_auto	0.100
	22	12.6	0.15356	12.188	25.01	0.00070739	Dy_auto	0.100
	23	15.9	-0.013971	-0.88073	25.01	-6.4359E-05	Dy_auto	0.100
	24	20	-0.16006	-8.0158	25.01	-0.0007373	Dy_auto	0.100
	25	25.1	-0.052522	-2.0891	25.02	-0.00024194	Dy_auto	0.100
	26	31.7	0.22799	7.2029	25.01	0.0010502	Dy_auto	0.100
	27	39.8	0.015804	0.39663	25.01	7.28E-05	Dy_auto	0.100
	28	50.2	0.063131	1.2585	25.01	0.00029081	Dy_auto	0.100
	29	63.1	0.081642	1.2929	25.01	0.00037608	Dy_auto	0.100
	30	79.5	0.18151	2.2833	25.01	0.00083611	Dy_auto	0.100
	31	100	0.15631	1.5618	25.01	0.00072003	Dy_auto	0.100
	32	126	0.15608	1.2388	25.01	0.00071896	Dy_auto	0.100
	33	159	0.25197	1.5887	25.01	0.0011607	Dy_auto	0.100
	34	200	0.27712	1.3876	25.01	0.0012766	Dy_auto	0.100
	35	251	0.36317	1.4445	25.01	0.0016729	Dy_auto	0.100
	36	317	0.45076	1.4242	25.01	0.0020764	Dy_auto	0.100
	37	398	0.57973	1.455	25.01	0.0026705	Dy_auto	0.100
	38	502	0.71835	1.4319	25.01	0.0033091	Dy_auto	0.100
	39	632	0.89057	1.41	25.01	0.0041024	Dy_auto	0.100
	40	795	1.1374	1.4308	25.01	0.0052395	Dy_auto	0.100
	41	1E+03	1.3831	1.382	25.01	0.0063712	Dy_auto	0.100
